Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Branch A,Branch B,Branch C,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O10: Rural,O10: Suburban,O10: Urban,O11: Equally concerned and excited,O11: More concerned than excited,O11: More excited than concerned,O12: Buddhism,O12: Christianity,O12: Hinduism,O12: I do not identify with any religious group or faith,O12: Islam,O12: Other religious group,O13: Brazil,O13: Canada,O13: Chile,O13: China,O13: Germany,O13: India,O13: Indonesia,O13: Italy,O13: Japan,O13: Kazakhstan,O13: Kenya,O13: Korea South,O13: Mexico,O13: Morocco,O13: Pakistan,O13: Philippines,O13: Poland,O13: United Kingdom,O13: United States,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O8: 18-25,O8: 26-35,O8: 36-45,O8: 46-55,O8: 56-65,O9: Female,O9: Male,South America,South Eastern Asia,Souther Asia,Southern Europe,Western Asia,Western Europe
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,"Companies, especially ones interacting with animals, should have regulation and oversight regarding the use of human-to-animal communication.",0.6000,0.6800,0.6700,0.7500,0.7400,,,,0.6300,0.9400,0.7600,0.7200,0.7600,0.7500,0.7000,0.7000,0.6900,0.7100,0.7000,0.7100,0.7500,0.7400,0.7400,0.7200,0.6900,0.7300,0.7300,0.7500,0.7200,,0.7300,0.7300,0.7100,0.7200,0.8400,0.7300,0.6000,0.8300,0.7300,0.9400,0.7500,0.6500,0.6300,,0.7100,,0.7700,0.7300,0.7100,0.7300,0.7600,0.7300,0.6900,0.6600,0.7900,0.6800,0.7100,0.7100,0.7500,0.7300,0.7600,0.7300,0.7100,0.7300,0.7300,0.7500,0.7200,0.7300,0.7600,0.7300,0.6900,0.6700,0.7900,0.6800,0.7500,0.6800,0.7400,0.7700,0.7500,0.7700
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,I would set laws that prohibit humans from entering wildlife and ecosystems.,0.5900,0.6700,0.6900,0.7600,0.7400,,,,0.6300,0.9400,0.7900,0.7100,0.7600,0.7600,0.6900,0.7000,0.6900,0.7000,0.7000,0.7100,0.7500,0.7400,0.7500,0.7300,0.6600,0.7500,0.7300,0.7500,0.7300,,0.7300,0.7000,0.7500,0.7200,0.8400,0.7300,0.6300,0.8300,0.7300,0.9400,0.7800,0.5900,0.6300,,0.7100,,0.7700,0.7600,0.7100,0.7300,0.7700,0.7400,0.6600,0.6800,0.7900,0.6900,0.7100,0.7200,0.7500,0.7300,0.7700,0.7300,0.6800,0.7500,0.7300,0.7500,0.7300,0.7300,0.7700,0.7400,0.6600,0.6900,0.7900,0.6900,0.7700,0.7200,0.7400,0.7900,0.7500,0.7700
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,I think we should give all of this to a profesional that have being certified cause in this case i believe quality much matter than quantity of people ,0.5900,0.6700,0.6900,0.7600,0.7400,,,,0.6900,0.9400,0.7900,0.6900,0.7600,0.7600,0.6900,0.7500,0.6900,0.6900,0.7000,0.7100,0.7500,0.7500,0.7300,0.7100,0.6900,0.7400,0.7200,0.7500,0.7400,,0.7000,0.7300,0.6800,0.6900,0.8400,0.7400,0.6300,0.8300,0.7300,0.9400,0.8000,0.5900,0.6900,,0.6500,,0.8200,0.7900,0.7000,0.7400,0.7600,0.7300,0.6600,0.6800,0.7900,0.6900,0.7100,0.7200,0.7500,0.7500,0.7500,0.7100,0.7100,0.7400,0.7200,0.7500,0.7400,0.7400,0.7600,0.7300,0.6600,0.6900,0.7900,0.6900,0.7200,0.7300,0.7500,0.7900,0.6800,0.7500
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,To change their nature and manipulate them,0.5900,0.6800,0.6300,0.7500,0.7500,,,,0.6300,0.9400,0.7400,0.7400,0.7600,0.7200,0.7100,0.7000,0.7200,0.7200,0.6900,0.7200,0.7500,0.7400,0.7300,0.7300,0.6600,0.7200,0.7300,0.7500,0.7400,,0.7300,0.7000,0.6800,0.7500,0.7600,0.7400,0.6300,0.8300,0.8000,0.9400,0.7300,0.5900,0.6300,,0.7600,,0.7700,0.7000,0.7300,0.7600,0.7400,0.7300,0.7000,0.6100,0.7800,0.6900,0.7000,0.7200,0.7400,0.7300,0.7500,0.7300,0.6800,0.7200,0.7300,0.7500,0.7400,0.7600,0.7500,0.7300,0.7000,0.6200,0.7800,0.6900,0.7200,0.7200,0.7600,0.7200,0.6800,0.7000
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,"Using animals as servants to humans, for example horses or camels are being used for humans comfort of movement; monkeys, donkeys and other species are often used by people in circuses for so called 'entertainment' and that should be completely prohibited.",0.5900,0.7000,0.6700,0.7700,0.7400,,,,0.6900,0.9400,0.7900,0.7400,0.7400,0.7100,0.7200,0.6800,0.7200,0.7300,0.7100,0.7300,0.7400,0.7400,0.7200,0.7300,0.6900,0.7400,0.7300,0.7400,0.7200,,0.7300,0.7300,0.6400,0.7500,0.7600,0.7400,0.6700,0.7800,0.8000,0.9400,0.7600,0.5900,0.6900,,0.7100,,0.7300,0.7300,0.7400,0.7400,0.7400,0.7200,0.7200,0.6800,0.7800,0.6800,0.7300,0.7400,0.7300,0.7300,0.7400,0.7300,0.7100,0.7400,0.7300,0.7400,0.7200,0.7400,0.7500,0.7200,0.7200,0.6700,0.7800,0.6800,0.7000,0.7200,0.7500,0.6900,0.6400,0.7200
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,"In general, communicate is ok, deceive or influence against their interests Is not",0.5900,0.6600,0.6700,0.7900,0.7200,,,,0.6900,0.9400,0.8100,0.6600,0.7200,0.7600,0.6800,0.8000,0.7800,0.6800,0.7200,0.7000,0.7500,0.7500,0.7300,0.7100,0.5900,0.7500,0.7200,0.7300,0.7500,,0.7300,0.7000,0.7500,0.6700,0.8000,0.7400,0.6700,0.8300,0.6700,0.9400,0.8200,0.5900,0.6900,,0.6500,,0.6800,0.8200,0.6900,0.7400,0.7400,0.7500,0.6600,0.6800,0.7700,0.7000,0.7400,0.7100,0.7400,0.7400,0.7600,0.7200,0.6200,0.7500,0.7200,0.7300,0.7500,0.7400,0.7400,0.7500,0.6600,0.6900,0.7700,0.7000,0.7700,0.7200,0.7500,0.7700,0.6100,0.7400
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,"Humans should be restricted from imparting to animals any technology, humanities, or other similar elements that may lead to loss of control.",0.5900,0.7000,0.6700,0.7600,0.7500,,,,0.6300,0.9400,0.7800,0.7600,0.7000,0.7000,0.7100,0.6400,0.7200,0.7200,0.7200,0.7200,0.7300,0.7400,0.6900,0.7200,0.6900,0.7200,0.7600,0.7200,0.7500,,0.6700,0.7900,0.6100,0.7500,0.7600,0.7700,0.6300,0.7800,0.8000,0.9400,0.7500,0.5900,0.6300,,0.7600,,0.7300,0.6400,0.7200,0.7400,0.7400,0.7200,0.7100,0.6600,0.7800,0.6800,0.7400,0.7300,0.7300,0.7300,0.7200,0.7300,0.6800,0.7200,0.7600,0.7200,0.7500,0.7400,0.7400,0.7200,0.7100,0.6700,0.7800,0.6800,0.6600,0.6800,0.7800,0.7200,0.6800,0.7200
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,Making sure it's not misused by companies and individuals. And that we don't end up telling the animals we are god. ,0.5900,0.6800,0.6900,0.7600,0.7400,,,,0.6300,0.9400,0.7800,0.7600,0.7800,0.7200,0.7100,0.7000,0.7200,0.7200,0.7000,0.7200,0.7400,0.7300,0.7200,0.7200,0.7200,0.7300,0.7100,0.7400,0.7300,,0.6700,0.7300,0.6400,0.7700,0.7600,0.7300,0.6300,0.8300,0.8000,0.9400,0.7600,0.5900,0.6300,,0.7100,,0.7700,0.7300,0.7300,0.7400,0.7400,0.7200,0.6800,0.6800,0.7900,0.6600,0.7100,0.7300,0.7300,0.7300,0.7400,0.7300,0.7100,0.7300,0.7100,0.7400,0.7300,0.7400,0.7500,0.7100,0.6800,0.6900,0.7900,0.6600,0.6700,0.6900,0.7400,0.7000,0.6400,0.7000
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,Moral and ethical standards,0.5900,0.6800,0.7100,0.7500,0.7200,,,,0.6300,0.9400,0.7900,0.6900,0.7400,0.7500,0.6900,0.7300,0.6600,0.6900,0.6600,0.7000,0.7500,0.7400,0.7300,0.7000,0.6600,0.7400,0.6900,0.7500,0.7200,,0.7300,0.7000,0.7100,0.6900,0.8400,0.7300,0.6300,0.8300,0.7300,0.9400,0.8000,0.5900,0.6300,,0.6500,,0.7300,0.7900,0.7000,0.7400,0.7500,0.7000,0.6600,0.7100,0.7800,0.6800,0.6800,0.7100,0.7400,0.7400,0.7500,0.7100,0.6800,0.7400,0.6900,0.7400,0.7200,0.7400,0.7500,0.7000,0.6600,0.7200,0.7800,0.6800,0.7500,0.7300,0.7300,0.7900,0.6400,0.7500
30fb8d06-03db-44b7-9eae-b0ed7a67d6e5,What other boundaries would you set?,"Even if I think strict regulations may not be necessary, I would still set some basic boundaries to ensure ethical and responsible use. For example, communication should never cause harm, distress, or exploitation to animals. Any use of animal communication technology should prioritize animal welfare, respect privacy (for example, in wild populations), and be guided by scientific best practices. There should also be clear consequences for anyone who misuses the technology for personal gain or to",0.5900,0.6800,0.6700,0.7500,0.7200,,,,0.6900,0.9400,0.7800,0.6900,0.7600,0.7400,0.6900,0.7000,0.6900,0.6900,0.6900,0.7000,0.7400,0.7300,0.7300,0.7100,0.6600,0.7200,0.7200,0.7400,0.7200,,0.7000,0.7000,0.6800,0.6900,0.8400,0.7300,0.6300,0.8300,0.7300,0.9400,0.7600,0.5900,0.6900,,0.6500,,0.7700,0.7300,0.7000,0.7300,0.7400,0.7200,0.6800,0.6600,0.7700,0.6800,0.7000,0.7000,0.7400,0.7300,0.7500,0.7100,0.6800,0.7200,0.7200,0.7400,0.7200,0.7300,0.7400,0.7200,0.6800,0.6700,0.7700,0.6800,0.7200,0.7200,0.7300,0.7500,0.6800,0.7500
727719e2-4557-4ef8-a29d-b9c6b316cb80,Would you trust AI more or less than humans to interpret animal communication to resolve a human-wildlife conflict? Why?,"Yes, in the case of these elephants it does not affect them directly.",0.4100,0.5000,0.5300,0.5700,0.5500,,,,0.6300,0.5000,0.6100,0.6700,0.5400,0.5600,0.5800,0.4200,0.4700,0.5800,0.5500,0.5500,0.5800,0.5600,0.5500,0.5800,0.5300,0.5800,0.5700,0.6100,0.4600,0.5300,0.6300,0.6200,0.6400,0.6800,0.6000,0.5500,0.4300,0.6100,0.5600,0.5000,0.6500,0.7600,0.6300,0.4700,0.5300,0.8000,0.5900,0.4100,0.5700,0.5600,0.5800,0.6100,0.4800,0.6000,0.5800,0.5500,0.5300,0.5500,0.5800,0.5700,0.5400,0.5800,0.5300,0.5800,0.5700,0.6100,0.4600,0.5600,0.5800,0.6000,0.4800,0.5800,0.5800,0.5500,0.6100,0.4900,0.5200,0.6400,0.5900,0.6200
727719e2-4557-4ef8-a29d-b9c6b316cb80,Would you trust AI more or less than humans to interpret animal communication to resolve a human-wildlife conflict? Why?,"I believe there are other solutions to avoid human-wildlife conflicts, but if I must answer, humans are humans, and ai is a tool filled with human infos and interpretations so I cannot always trust it to be truthful or neutral. Strengthening security in human areas is a better alternative, no need to have humans and animals in 'conflict' , aka no one gets hurt, AND no need to rely on a tool that may not be as performant as it seems.",0.4100,0.5300,0.4900,0.5100,0.5400,,,,0.4400,0.5000,0.5400,0.5800,0.6500,0.5400,0.5200,0.4900,0.4100,0.5200,0.5000,0.5400,0.5300,0.5300,0.5000,0.5300,0.5900,0.5500,0.5100,0.5200,0.5400,0.4700,0.5300,0.6800,0.5400,0.6500,0.5200,0.5200,0.6000,0.5200,0.4400,0.5000,0.5900,0.5900,0.4400,0.4700,0.4100,0.6000,0.6800,0.5300,0.4900,0.5200,0.5200,0.5600,0.5500,0.5000,0.5400,0.5200,0.5100,0.5400,0.5300,0.5300,0.5200,0.5300,0.5800,0.5500,0.5100,0.5200,0.5400,0.5200,0.5200,0.5700,0.5400,0.4900,0.5400,0.5200,0.5300,0.6100,0.5200,0.5200,0.4500,0.4700
727719e2-4557-4ef8-a29d-b9c6b316cb80,Would you trust AI more or less than humans to interpret animal communication to resolve a human-wildlife conflict? Why?,"Less actually. If they are tame animals like elephants, humans must know how to behave with them to calm them down",0.4000,0.5500,0.5700,0.6100,0.5700,,,,0.5000,0.6900,0.6400,0.6400,0.6500,0.5500,0.5400,0.4000,0.4400,0.5400,0.5300,0.5400,0.5800,0.5600,0.5500,0.5800,0.6200,0.6000,0.5300,0.5800,0.5400,0.4000,0.6000,0.5900,0.4300,0.6600,0.6400,0.5500,0.5300,0.5700,0.5600,0.6900,0.6700,0.7100,0.5000,0.4700,0.6500,0.8000,0.6800,0.4100,0.5200,0.5600,0.5700,0.5700,0.5500,0.6000,0.5900,0.5500,0.5200,0.5500,0.5800,0.5700,0.5500,0.5700,0.5800,0.6000,0.5300,0.5800,0.5400,0.5600,0.5800,0.5700,0.5400,0.5800,0.5900,0.5500,0.5300,0.5900,0.5600,0.5700,0.4100,0.5800
727719e2-4557-4ef8-a29d-b9c6b316cb80,Would you trust AI more or less than humans to interpret animal communication to resolve a human-wildlife conflict? Why?,"In my experience with AI so far, AI seems to have a greater ability to take a neutral view of conflicts and resolve the issue more rationally and without ulterior motives than humans.",0.4000,0.5500,0.5700,0.5500,0.5800,,,,0.5000,0.6300,0.5800,0.6400,0.7400,0.5600,0.5600,0.4700,0.4100,0.5700,0.5100,0.5700,0.5700,0.5700,0.5600,0.5600,0.6200,0.5700,0.5700,0.5700,0.5600,0.5300,0.5000,0.6800,0.5000,0.6800,0.5600,0.5800,0.5000,0.5200,0.4400,0.6300,0.6100,0.7100,0.5000,0.4000,0.4700,0.6000,0.7700,0.5300,0.5500,0.5500,0.5600,0.6100,0.5400,0.5700,0.5600,0.5700,0.5200,0.5700,0.5700,0.5700,0.5600,0.5600,0.6100,0.5700,0.5700,0.5600,0.5600,0.5500,0.5600,0.6100,0.5300,0.5800,0.5600,0.5700,0.5200,0.5800,0.5700,0.5400,0.4100,0.5300
727719e2-4557-4ef8-a29d-b9c6b316cb80,Would you trust AI more or less than humans to interpret animal communication to resolve a human-wildlife conflict? Why?,"I think AI takes independent judgments to a certain point; therefore, there will always be human decisions in the middle. Having said this, I think that if this technology gets to the point where they can judge by themselves, I would trust AI more because it wouldn't do things for money. ",0.4000,0.5500,0.5500,0.5700,0.5600,,,,0.5000,0.6300,0.5900,0.6300,0.7200,0.5600,0.5600,0.4400,0.4100,0.5600,0.5300,0.5600,0.5600,0.5600,0.5500,0.5500,0.6200,0.5700,0.5300,0.5600,0.5600,0.5300,0.5300,0.7000,0.4600,0.6600,0.6000,0.5500,0.5000,0.4800,0.4400,0.6300,0.6300,0.7100,0.5000,0.4000,0.4100,0.6700,0.7300,0.5000,0.5300,0.5500,0.5500,0.5900,0.5500,0.5700,0.5700,0.5500,0.5300,0.5600,0.5600,0.5600,0.5300,0.5600,0.6100,0.5700,0.5300,0.5500,0.5600,0.5500,0.5500,0.5900,0.5400,0.5800,0.5700,0.5500,0.5200,0.5700,0.5400,0.5200,0.4100,0.5700
727719e2-4557-4ef8-a29d-b9c6b316cb80,Would you trust AI more or less than humans to interpret animal communication to resolve a human-wildlife conflict? Why?,"Personally, I prefer AI in this type of situation since it won't rely on emotions, only data and facts.",0.4000,0.5300,0.5100,0.5500,0.5700,,,,0.4400,0.5600,0.5600,0.6200,0.7000,0.5400,0.5300,0.4400,0.4400,0.5400,0.5300,0.5300,0.5700,0.5600,0.5700,0.5500,0.6200,0.5400,0.5400,0.5700,0.5800,0.4000,0.5300,0.6200,0.5000,0.6600,0.5600,0.5500,0.5300,0.5200,0.4400,0.5600,0.5900,0.7100,0.4400,0.4000,0.5900,0.7300,0.7700,0.4700,0.5200,0.5400,0.5600,0.5800,0.5400,0.5700,0.5600,0.5500,0.5300,0.5400,0.5600,0.5600,0.5700,0.5500,0.6100,0.5400,0.5400,0.5600,0.5800,0.5400,0.5700,0.5800,0.5300,0.5600,0.5600,0.5500,0.5200,0.6400,0.5600,0.5100,0.4500,0.5300
