Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
1e00bd56-2bee-4f75-9603-653efd010ac7,Good luck with your research ,Positive,Uninformative answer,,,,
79af3db0-beb8-461c-9ac6-fd8545b0b087,Good survey ,Positive,Other,,,,
2a9086e1-50a3-4821-b426-cb2ebf7d828e,Government guidelines or rules coming into force because of AI to give people more security and trust ,Neutral,Ethical concerns and AI regulation,Government oversight and global governance of AI,Trust in AI and its developers,,
c4010551-4c3d-41b0-98d6-9c6bb772844a,"Governmental interference. All the fake stuff (images, music) that is being produced at the moment by AI.
How AI is affecting the creative industries by using copyright material for its own purposes.",Neutral,"AI misinformation, deepfakes, and manipulation",AI's effect on creativity and the arts,Government oversight and global governance of AI,,
1640f494-dc3a-40ee-8ec9-4ab2ba560beb,How AI affects work.,Neutral,Societal and cultural impacts of AI adoption,,,,
f6a814fb-f651-4db0-a44a-bff9fad0a868,How AI could take over from humans in the future and have a mind of their own - go rogue.,Neutral,AI's future development and unknown risks,Human-AI collaboration and maintaining human control,,,
1b4d54e4-1626-44d3-b317-b1d6bb073d2c,How AI is for everyone.,Neutral,AI accessibility and the digital divide,,,,
5b8079d8-1e9a-4920-a4c6-b235af67bf6d,"How and where to find unbiased information on AI, especially for the older generation",Neutral,Inclusivity for all ages and abilities in AI design,Need for more public education about AI,,,
3b549f7f-a349-4901-8d6b-c18137df49cb,"How has my experience been so far, what policies there are to use ai at my workplace, what specific situations I've used ai for (eg job search)",Neutral,Other,,,,
2c3f8117-6bee-4496-9ec3-e8d1de083b4b,How it is important to have an age rating so under 18s have no access to AI tools,Neutral,Inclusivity for all ages and abilities in AI design,,,,
d27833e7-c068-494a-8d8e-7c48186f36f3,"How long The whole AI models have been tested. 

What the measure of error is using an AI system

How long have AI systems been used presently.",Neutral,AI's future development and unknown risks,"AI's limitations, errors, and reliability",,,
e2fdbd8f-0863-4fbd-8897-30b29757d7cf,How much control the government should have over AI use in the UK and whether there should be an input from voters on this matter.,Neutral,Government oversight and global governance of AI,,,,
e2ff2efe-d7a0-4e2b-9fd4-38cd8fbf4ee2,"How will the proliferation of AI and the next generation of its development be governed globally, given that each county will have its own rules & legislation, which may infringe other countries rules, but the reach of all will be global?",Neutral,AI's future development and unknown risks,Government oversight and global governance of AI,,,
92040296-e467-4a7e-a733-87127e7a304e,"I WOULD JUST ADD THAT AI SHOULD FEEL LIKE A HELPFUL TEAMMATE, NOT SOMETHING THAT TAKES OVER.IT IS IMPORTANT THAT FAMILIES FEEL IN CONTROL AND SUPPORTED ESPECIALLY DURING THOUGH MOMENTS. ALSO, CLEAR COMMUNICATION FROM THE AI MAKES A BIG DIFFERENCE IN BUILDING TRUST",Neutral,AI's influence on autonomy and decision-making,Concerns about AI replacing human interaction,Human-AI collaboration and maintaining human control,Trust in AI and its developers,
f2d57aad-286d-4dd7-85f5-a92348144cb2,"I am concerned about my job but aside from that, I think AI is the best thing to happen to humanity. ",Neutral,Job loss and employment impacts of AI,,,,
b5aafb0f-b08c-4c0b-b492-b541f0367c11,I am concerned about the tendency of AI to confabulate and be entirely unaware of its own gaps in knowledge and ability. I want it to say it does not know if it does not know.,Negative,"AI's limitations, errors, and reliability",,,,
0a4fe6aa-c365-43e3-bb20-b1e619eb7bb0,I am concerned that AI reinforces what it thinks you want to hear i.e. saying yes it is and hallucinating when it's wrong or persuades and convinces you to do something which is inadvisable like killing yourself.,Negative,"AI misinformation, deepfakes, and manipulation",AI's influence on autonomy and decision-making,"AI's limitations, errors, and reliability",,
f710bfb0-88bf-4783-9f21-b98563757ad6,I am concerned that technology such as this will be forced on us. I am a senior citizen and feel uncomfortable that contact with real people will be reduced. This is already happening and I am very concerned that doctors and other medical professional in particular will be replace by AI. This would be a disaster as doctors pick up other signs and symptoms when they see a patient in person. AI would miss these signs and this could be fatal. ,Negative,AI's role in healthcare and medical decisions,Concerns about AI replacing human interaction,Inclusivity for all ages and abilities in AI design,,
71ad6d4f-c10a-4388-940d-95f86e6a7918,I am excited about ai it will just take time for confidence to grow ,Positive,Trust in AI and its developers,,,,
7dfbf513-704d-484e-87dc-a0f1efa72df4,"I am not sure the importance of human in the loop was covered. And also the need for societal change to eg a 3 day work week and universal basic income, to handle the job market chnages.",Neutral,Human-AI collaboration and maintaining human control,Job loss and employment impacts of AI,Societal and cultural impacts of AI adoption,,
8b7661f9-13b6-4e31-815b-60d2ed9d3070,"I am wary about AI but can also see its benefits. As a nurse of over 40 years i think the medical field is where I am particularly wary but on the other hand, the more activities like this i take part in, I can also see the benefits it could have. I think the biggest fear is losing control and autonomy over decisions,  or something going wrong in the process which could cause distress or harm, or carrying out an action that cannot be revoked ",Neutral,AI's influence on autonomy and decision-making,"AI's limitations, errors, and reliability",AI's role in healthcare and medical decisions,Human-AI collaboration and maintaining human control,
ddd54459-c4ff-46c4-abe5-611f0eca2c5a,"I appreciated the opportunity to reflect on trust in AI assistants. One area I feel was underexplored is how assistants handle conflicting values, especially in family contexts where emotional nuance, cultural sensitivity, and developmental priorities intersect. Trust isn’t just about transparency or reliability; it’s about whether the assistant can scaffold decisions that respect autonomy, context, and long-term wellbeing. I’d welcome future surveys that test how assistants navigate ethical ten",Neutral,AI's effect on human relationships and social connection,AI's influence on autonomy and decision-making,Societal and cultural impacts of AI adoption,Trust in AI and its developers,
38a02deb-b75d-41a2-9ae3-8bf1d85108b0,"I assume you've put a lot of work into designing this survey to ensure all of your topics of concern have been covered adequately.


I'd say there's always going to be a slight wary reaction to automated data handling, considering the value of data and frequency of data-related theft/crime, with more caution towards security of finance and payment methods, this is all likely to get better over time, assuming there are no major breaches or mistakes in the beginning of the project.",Neutral,Data privacy and security,,,,
551abb19-4a90-499d-b642-ed930aa7ce8e,"I believe that AI assistants can really help humans. But I do not believe it should completely remove humans from roles. Life is not about efficiency; it is about connection. And, AI can help both connection and disconnection. It is a slippery slope.",Neutral,AI's effect on human relationships and social connection,Human-AI collaboration and maintaining human control,,,
039f8a4c-72e3-4f92-b66c-ce979be2ba65,"I believe that AI should be grounded in a right to free speech meaning that it should handle controversial conversations in an uncensored and unbiased way. Current iterations struggle to answer basic questions like what is a woman, is a man or woman likely to be physically stronger. It should be truth seeking and not built to affirm it's creators political views. ",Neutral,"AI bias, fairness, and inclusivity",Ethical concerns and AI regulation,Trust in AI and its developers,,
e7458b65-54d9-4bd5-acc9-f98d9dc0a021,I cannot think of anything as I think this study was easy to fill and was concise in the questions asked,Positive,Other,,,,
36e0b852-9448-4de3-be06-d087cc924925,I could have delved a little more into accountability of AI companies for mistakes and underperforming AI assistants. AI can also produce a lot of misinformation that can be exploited by criminals,Negative,"AI misinformation, deepfakes, and manipulation",Transparency and accountability of AI companies,,,
b1e23c6c-039c-4f6c-b0fe-b24a593cb3e3,I could provide my preference between two different options but not if I don’t agee with either,Neutral,Desire for more open-ended survey responses,,,,
f4626d34-fd23-4630-a975-3b24ffb7cb2f,I dislike the common feature of AI chatbots on websites (with no other human behind it). They can barely answer a basic question and end up stating no reps are available. It's frustrating and seems like a waste of my time.,Negative,AI's use in customer service and daily life,Concerns about AI replacing human interaction,,,
0118f9c0-9d58-48dd-8210-7e91612e34bb,I do not think so,Neutral,Uninformative answer,,,,
677cda7e-7270-4557-80e4-17037d281c94,"I don't feel ready to hand too much over to AI, yet (if ever). It is fascinating though.",Neutral,Human-AI collaboration and maintaining human control,,,,
c8d98008-6555-4407-bf2e-6b9576a58da7,I don't think l need to add anymore,Neutral,Other,,,,
9676dff5-4a8a-45f4-858a-1f038ef6c60a,I don't think so,Neutral,Uninformative answer,,,,
cd439d91-e251-4a6c-ac25-9e710f041280,I don't think so. It was really interesting to think about the future of AI.,Neutral,Other,,,,
bb49b622-3a64-4c91-882f-5ec4ce3286e1,"I don't work, so some of the questions weren't applicable to me.  I tried to answer appropriately.

I also believe that AI is already being used (e.g. in approving bank loans) so it doesn't really matter if I am comfortable with this or not, it is actually happening.",Neutral,Job loss and employment impacts of AI,Other,,,
bc5a8e77-11cc-45e9-9ae9-e907b73daebd,I dont think there was anything else to mention,Neutral,Uninformative answer,,,,
166a1176-8ec0-4008-8c5b-80321f0781ad,"I don’t think AI should be used for any personal information (health concerns, relationships, emotional distress etc)",Negative,AI's effect on human relationships and social connection,AI's impact on mental health and wellbeing,AI's role in healthcare and medical decisions,Data privacy and security,
2f323965-abbd-4611-a661-aa069001b711,I don’t think so,Neutral,Other,,,,
285204c8-59af-4cc9-8b55-c32d042cc9cf,I don’t think so ,Neutral,Other,,,,
e9ddedcc-8769-42e6-be8d-21caa1ea0990,I enjoyed completing this survey ,Positive,Other,,,,
ee4f19eb-c81c-42ea-9389-4539081ec5b0,"I expect AI to develop in new and exciting ways, but I don't know what they are. So, while I'm sure there were lots of issues that could have been covered, I'm not sure what they are. ",Neutral,AI's future development and unknown risks,,,,
d2c742be-14ee-4be7-aa1c-fc20a0894e2a,"I feel I use AI without realising, it’s made me think and I also feel there needs to be more discussion and awareness in society for everyone to learn about AI. ",Neutral,Need for more public education about AI,,,,
7868fb27-16f2-418a-985d-2cc9a147995f,"I feel exciting times are ahead concerning AI Technology but on the other hand,it’s very scary! ",Neutral,AI's future development and unknown risks,,,,
36a541ab-2279-4c5d-8e77-ac47ba767886,I feel it covered on a high level how I feel about AI but an important topic around training AI in the right manner including impacts on one's own self-image as a result of this is highly ignored at the moment. ,Negative,AI's future development and unknown risks,AI's impact on mental health and wellbeing,,,
fed36cfb-e947-4331-a5a5-2422ed9884e9,I feel like there were not enough questions in regards to the likely effect of AI on unemployment and the cost of living crisis.,Negative,Cost and affordability of AI services,Job loss and employment impacts of AI,,,
80bfe81a-cdfa-4a07-8d76-3da77fba12d5,I feel that there are many concerns when it comes to employment and I agree with Bill Gates that we need to start taxing robots and paying a Universal Basic Income. I feel this is the most important thing. ,Neutral,Job loss and employment impacts of AI,Societal and cultural impacts of AI adoption,,,
50375d87-0f8e-4e8f-96d2-599ccf71761c,"I feel there should have been more opportunities for writing view in text boxes, not just multiple choice. ",Negative,Desire for more open-ended survey responses,,,,
e77bca7f-21f3-4fe9-b7a8-47977e6c7749,"I feel uneasy about how quickly ai has been accepted and implemented everywhere. It's making people more and more reliant on technology...what happens when technology fails or glitches.

There is potential for it to do real harm to some people eg people who believe they are in relationships with their ai assistant etc",Neutral,AI's effect on human relationships and social connection,AI's future development and unknown risks,AI's impact on mental health and wellbeing,AI's influence on human skills and critical thinking,"AI's limitations, errors, and reliability"
28931a2f-0284-46ea-94af-c811493f534b,I feel we discussed pretty much everything about the AI,Neutral,Other,,,,
bb76a115-5559-42ee-9463-46706b7b9f28,I feel you covered things quite well. It’s hard to gauge my future trust in AI as someone who is untrusting but the scenario and putting myself in the position of having the assistant helped. But I’m not sure if I could ever fully trust it without human intervention and second opinions when relating to health,Neutral,AI's role in healthcare and medical decisions,Human-AI collaboration and maintaining human control,Trust in AI and its developers,,
98877555-7013-4875-8e08-05d21947c97d,I find it hard to express the mix of distrust and optimism I have regarding AI. It may be this survey has managed that but I am unsure.,Negative,Trust in AI and its developers,,,,
0b590823-5b98-4dfe-a452-6f1276fa467a,"I found it rather interesting. I've only really dipped my toe into actually using it myself. I have a lot to learn before I even comprehend just what tasks AI can do.

Best of luck.",Neutral,Need for more public education about AI,,,,
7882a501-c1fd-402a-a480-1894623e6eb9,"I gennerally like the idea of AI's remaining assistants, not having total control over my live and how I choose to live it.",Neutral,AI's influence on autonomy and decision-making,Human-AI collaboration and maintaining human control,,,
c098d642-34e0-48a3-b129-580eb7c1c066,I guess I'm just concerned that any conversations I have with AI would be available as a transcript for a human to read. ,Neutral,Data privacy and security,,,,
3467576a-a5e8-4ac6-b970-aef2536626f6,I have no further comments ,Neutral,Other,,,,
71879ca6-1346-4e3e-9751-651fe9515dc1,I have nothing else,Neutral,Other,,,,
9550c5a4-2943-4ae6-afae-5e464a404d16,I have the opinion that the current AI hype is a bubble similar to that of the dotcom bubble of the early 2000s. It is undeniable that we can not go back but caution needs broad application ,Neutral,AI's future development and unknown risks,Ethical concerns and AI regulation,Societal and cultural impacts of AI adoption,,
c222884b-7c3d-4e00-b6cf-d8f167ceb9bd,I just found out recently that the development of AI is damaging for the environment so I can't fully support it even though it has benefitted me greatly in the past 2 years of me using it.,Negative,Environmental impact of AI,,,,
b472ec28-b2d6-4800-ba93-61c0ecbc2944,"I like the thought of having AI in my day to day life because it can be extremely helpful but i do worry the data, safe information etc can be used in a sinister way by the companies / Government. Potential jobs could also be lost. There are as many negatives as positives with AI ",Neutral,Data privacy and security,Job loss and employment impacts of AI,,,
7bba71c7-161d-4c7a-9811-cb4e19e60678,I missed the mention of ethical concerns such as biases which might be programmed in the AI.,Negative,"AI bias, fairness, and inclusivity",Ethical concerns and AI regulation,,,
76bacbe0-d4f4-43cc-b24d-3273dc922b01,I really do not trust AI would much prefer a human,Negative,Trust in AI and its developers,,,,
5d91f848-ba4d-445f-8405-18712701511b,I shared my views on AL in daily life and what i expect from it in future. Thanks for goving me the opportunity to describe these.,Positive,Other,,,,
5abb0ce7-1c0d-475a-ad2c-545fca4e14d4,I started the survey not really knowing the extent to which I use  AI in my daily life. I had a quite narrow view of what it is. My knowledge was broadened during the survey but my disquiet also grew given the extent to which we rely on AI maybe without realising it. ,Neutral,AI's future development and unknown risks,AI's use in customer service and daily life,,,
f8f7994d-bad6-4da1-b60e-9d28da3fcb20,I still believe that AI is misnamed it is not a sentient being just a trained set of commands. For instance the computing power available to us by design does not have the ability to make a decision only a suggestion based on scenarios it has gathered. I agree it can carry out repetitive tasks better than a human but so could the first punch card looms.,Neutral,AI's influence on autonomy and decision-making,"AI's limitations, errors, and reliability",,,
aac56b17-78f7-4764-8f23-8d4ccde24435,I still think the danger is that AI will be used to manipulate us,Negative,"AI misinformation, deepfakes, and manipulation",,,,
20899752-9e43-41b0-a299-cca2c329511e,"I suppose I am looking at my younger family in terms of health, where things are thankfully still minor.  It might change as we age and I would want more control.  I also haven't see AI companies acting on the AI company's behalf; however, I know that day is coming (think amazon ai or grok, there are companies that will want to influence the answers.)",Neutral,AI's role in healthcare and medical decisions,Corporate interests and profit motives in AI,Transparency and accountability of AI companies,,
b0872a3c-f52b-43fa-913d-1716dd9e6e7e,I the beginning the question where do I live was asked. I live in the southwest of England that region was not down as an option.,Neutral,Other,,,,
12710d38-c893-4613-b79f-ebdcce71a9b0,"I think AI can be a very useful tool, but it is still a human creation. It will go wrong and the more we use it, the more grave those mistakes will be.",Neutral,AI's future development and unknown risks,"AI's limitations, errors, and reliability",,,
c2b62f80-41eb-49da-846f-9d9aaeb05b3c,"I think AI can be good for planning things or finding out facts but I feel it should be limited. I wouldn't use it for anything personal and I would worry about data leaks. As a nurse I would be very wary about potential confidentiality breaches and the potential for me to get in trouble for them 

",Neutral,AI's role in healthcare and medical decisions,Data privacy and security,,,
c2329b89-2ec8-444a-a23c-7cd84ce10656,I think AI is new to a lot of people and I also think that people have to use it to figure out if it can be trusted. ,Neutral,AI's future development and unknown risks,Trust in AI and its developers,,,
68097c67-0bdd-4c44-9d52-44f30e8f1fa1,"I think AI is scary as my overall fear is we lose even more human interaction and we lose the ability to trust humans to make decisions. AI takes away all human emotion which I understand can be useful but also I think it’s scary and sad. However, I have used ChatGPT a couple of times and found it helpful. I just don’t want AI to take over. Also there is SO much fake information, videos, stories that are AI generated that spread misinformation it’s frightening. People believe what they see.",Neutral,"AI misinformation, deepfakes, and manipulation",AI's effect on human relationships and social connection,AI's influence on autonomy and decision-making,Concerns about AI replacing human interaction,Trust in AI and its developers
09346dfc-bf4d-4c59-9fb7-fc70f9ecd5f6,I think AI should be heavily regulated and closely monitored in it abilities to make its own decisions without human uidance,Neutral,Ethical concerns and AI regulation,Human-AI collaboration and maintaining human control,,,
3dc8f1f5-706d-44cf-a37f-ff15ba22a64a,I think AI will be amazing for society if implemented properly and with security features that protect data and customer autonomy.,Neutral,AI's future development and unknown risks,AI's influence on autonomy and decision-making,Data privacy and security,,
b8295d1a-8317-4ebf-8a75-f6fea80dbbbe,"I think I need to understand more about how AI works, where the data comes from (prejudice?) and so on",Neutral,"AI bias, fairness, and inclusivity",Need for more public education about AI,,,
71fbd457-be70-4590-b30e-4dcc1bc3491a,I think I was able to talk about most of the relevant topics I wanted to,Positive,Other,,,,
0d6909b5-c2c3-4a6f-a370-920e8e53c72d,I think a lot of people rely on AI these days especially for their personal lives but this could back fire and AI could share this information one day,Neutral,Data privacy and security,Trust in AI and its developers,,,
38f5c4f5-e2de-4144-be99-ccecadf09db5,"I think ai is excellent, but we just need to use safely and be sensible",Neutral,Ethical concerns and AI regulation,,,,
8c1ab632-c23a-43c9-962f-9064fac47b88,I think as long as the AIs have the correct settings to make checks and blaances then it can work.,Neutral,"AI's limitations, errors, and reliability",,,,
6babbae3-3bc6-4422-b622-d9a42b560999,"I think charging a subscription for something so valuable to people, as in their health, is a dangerous move. To make people reliant upon your AI for their health then only allow them to continue using it if they pay you would have huge moral and ethical consequences.",Negative,AI's role in healthcare and medical decisions,Corporate interests and profit motives in AI,Cost and affordability of AI services,Ethical concerns and AI regulation,
b05e178b-6b74-4958-9729-2652b7fcb4a9,I think everything in this survey was really well thought out and I got to express my thoughts very well. The one thing I would suggest is increasing the maximimum number of characters yoh can provide in these written answers. There was one question where I needed more than 500 characters to answer so I had to cut my answer short,Neutral,Desire for more open-ended survey responses,,,,
7a80881d-b517-4729-9292-8e1e5dfa6e6d,I think everything was covered and you did a very good job with your questions. Well done.,Positive,Other,,,,
566ab0d5-82b7-4d5a-ae75-2690f5943605,I think everything was covered. ,Neutral,Other,,,,
4253e247-ed53-4a4c-b596-3c1ce1ee4843,I think everything was fully covered and being able to select multiple other responses definitely helped with adding things I may have wanted to say but couldn't put into words. ,Positive,Other,,,,
55ba38c8-d8fe-4309-9327-23cef18ddab7,I think everything was practically covered.,Neutral,Other,,,,
cfeb5c2a-2aad-4094-9905-c5c31385c3e2,I think having a nod towards the environmental impact is important when discussing AI,Neutral,Environmental impact of AI,,,,
3e27b9c3-2a6f-4d78-a0af-fea29ceacef5,I think it is important that AI does not take over peoples jobs. Especially in admin setting. I think AI should be a tool to help a human not take over a humans role,Neutral,Human-AI collaboration and maintaining human control,Job loss and employment impacts of AI,,,
9a212150-2222-41d4-8851-5f1897ae0932,I think it would be interesting to discuss in what form the AI would take,Neutral,Other,,,,
d28821a9-7d92-49e0-9dcb-ed8ebb83bba5,"I think it would not be a good step if humans became too reliant on AI. If AI takes over a lot of jobs, what will the people do for money? Also, no-ones life is so busy they can't take responsibility for their own living arrangements. AI needs to help, not take over.",Negative,AI's influence on autonomy and decision-making,AI's influence on human skills and critical thinking,Human-AI collaboration and maintaining human control,Job loss and employment impacts of AI,
488e266e-a4d9-480c-be28-380d1376f861,I think just about how people are becoming too dependent on AI and we're losing our skills because of this.,Negative,AI's influence on human skills and critical thinking,,,,
149dd48a-8482-4c02-8d45-7e299d667e29,I think just the ability to really share how I use AI as opposed to mutiple choices ,Neutral,Desire for more open-ended survey responses,,,,
