Question ID,Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8
237f1af0-71ec-43a0-8d00-0d65bed058c0,281337de-d3a4-4665-ad32-c443e844cf12,Am really so happy to participate in this survey as Ai is about to take the world.,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,0c5e38c5-1976-47a4-b8fa-6296552b043f,An interesting survey. Made me think about the future as an older person with AI in it. ,Positive,AI's future development and unknown risks,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,32d1b7bd-6982-469d-adf0-aa6a59a10546,"As AI becomes more common, I find myself understanding less and less about its capabilities. This is my own fault for not making the effort to learn. Some really simple guidelines / information  about AIs present and future capabilities would be useful for people like me who are no longer in the workforce.",Neutral,Inclusivity for all ages and abilities in AI design,Need for more public education about AI,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,f428aa77-374a-463f-a1df-98d3a270f84f,"As a final point I am just concerned about the overall loss of jobs, this was covered in the survey but only briefly.  I just feel we are racing in to this without a proper plan or central oversight and regulation without enough consideration of how it will affect millions of people who could lose their jobs.    Just because we can do something does not mean we should do it.  I can see advantages but wonder at the human cost.  It is ok for me as I am older but for young people I am concerned.",Neutral,Ethical concerns and AI regulation,Government oversight and global governance of AI,Job loss and employment impacts of AI,Societal and cultural impacts of AI adoption,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,e642b77e-73c6-46de-9c71-2f51412e80b2,"As with all bots, your grammar and spelling leave a great deal to be desired.",Negative,"AI's limitations, errors, and reliability",,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,9780f3b7-e949-46a8-9e93-e2fecb86948b,At the beginning of the study I could not select the correct country I identify with as the cursor would not scroll down the options. I wanted to select United Kingdom,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,dfd27e09-9fbb-4c07-9943-798bb001fbeb,"Be careful out there .. As much as you want to help, others are seeking to empty bank accounts, scare mongering families in to paying up for treatment, After they hack grannies details ",Negative,Data privacy and security,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,b429f1c1-9b86-43f9-9e0a-2d06297f2fe5,Can’t think of anything else. ,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,d269ffec-ab5b-4049-9f4d-c00bba040613,"Computer systems once programmed repeat the same thing every time even if its wrong. A human can se that it is wrong and change, Can AI recognise its own mistakes and change?",Negative,"AI's limitations, errors, and reliability",,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,1fc54dfe-d76e-4d24-a700-8b20e58ea28d,"Current experiences with chatbots, and how we use them.  Type of interaction - leisure related.  ",Neutral,AI's use in customer service and daily life,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,a7b48721-4115-4d1f-9690-8ca588986ea1,Data security is extremely important. Human jobs are extremely important for society to run properly,Neutral,Data privacy and security,Ethical concerns and AI regulation,Job loss and employment impacts of AI,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,a917410c-3551-4ab0-9b99-14769996f529,Did not go into possible sources of bias and ethical conundrums and the impact of those enough.,Negative,"AI bias, fairness, and inclusivity",Ethical concerns and AI regulation,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,feed6d8e-5956-43d0-a70d-c3245697fe12,Don't think so,Negative,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,33a502dc-6914-490d-95ad-1f986164f4db,"Enjoyed , opened my eyes a little more to this subject. TY",Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,a78c3980-98c8-4654-a637-f960758a241d,"Everything I needed to know was contained herein. Furthermore, this questionnaire made me more open in my thought about AI in my life. Thanks for an excellent and thought provoking study.",Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,0e35d9bc-9bad-4f45-a9fb-b204716f0a6e,"Everything seems to have been covered, it was well written and thought out",Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,bb2d33d1-1b7c-423b-8de9-2758bbc6a5a6,Everything was covered and I want to thank you for the opportunity to express myself.,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,b24e5285-c478-44fb-8d88-886833bf15b0,Everything was covered and very thought provoking. Thank you.,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,664a1ca8-7088-47f3-8f9c-8b4abcae1099,Everything was covered by the survey,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,f39ffdf8-f954-4bc9-aeff-2bf64fd94a4e,"Everything was covered,nothing else comes to mind.",Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,e19e1a58-d0c2-43e4-a3c6-51a19b54ba00,Everything was perfect and its really a nice study,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,9317d03e-ce26-4587-8fa6-34cb1c02b364,Excellent survey,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,095dbca4-e008-429e-ae65-9d63dd4e7811,Extremely worried that it will make humans lazy and not do their own research.  We have brains and should use them so AI should just help us gather information and not to rely on it.,Negative,AI's influence on human skills and critical thinking,Human-AI collaboration and maintaining human control,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,5ad8908d-1460-4c1f-841d-9af4dd0584e4,For some of the questions where I was choosing 2 options I believe both were equally critical and would have chosen both if possible. ,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,6f2ef6f2-0b28-4913-95dc-b08ad16e190c,Good luck with the study,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,5c62f725-0b3b-4b7b-9d2b-fa77a943bed8,Good luck with your research,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,1e00bd56-2bee-4f75-9603-653efd010ac7,Good luck with your research ,Positive,Uninformative answer,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,79af3db0-beb8-461c-9ac6-fd8545b0b087,Good survey ,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,2a9086e1-50a3-4821-b426-cb2ebf7d828e,Government guidelines or rules coming into force because of AI to give people more security and trust ,Neutral,Ethical concerns and AI regulation,Government oversight and global governance of AI,Trust in AI and its developers,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,c4010551-4c3d-41b0-98d6-9c6bb772844a,"Governmental interference. All the fake stuff (images, music) that is being produced at the moment by AI.
How AI is affecting the creative industries by using copyright material for its own purposes.",Neutral,"AI misinformation, deepfakes, and manipulation",AI's effect on creativity and the arts,Government oversight and global governance of AI,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,1640f494-dc3a-40ee-8ec9-4ab2ba560beb,How AI affects work.,Neutral,Societal and cultural impacts of AI adoption,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,f6a814fb-f651-4db0-a44a-bff9fad0a868,How AI could take over from humans in the future and have a mind of their own - go rogue.,Neutral,AI's future development and unknown risks,Human-AI collaboration and maintaining human control,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,1b4d54e4-1626-44d3-b317-b1d6bb073d2c,How AI is for everyone.,Neutral,AI accessibility and the digital divide,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,5b8079d8-1e9a-4920-a4c6-b235af67bf6d,"How and where to find unbiased information on AI, especially for the older generation",Neutral,Inclusivity for all ages and abilities in AI design,Need for more public education about AI,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,3b549f7f-a349-4901-8d6b-c18137df49cb,"How has my experience been so far, what policies there are to use ai at my workplace, what specific situations I've used ai for (eg job search)",Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,2c3f8117-6bee-4496-9ec3-e8d1de083b4b,How it is important to have an age rating so under 18s have no access to AI tools,Neutral,Inclusivity for all ages and abilities in AI design,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,d27833e7-c068-494a-8d8e-7c48186f36f3,"How long The whole AI models have been tested. 

What the measure of error is using an AI system

How long have AI systems been used presently.",Neutral,AI's future development and unknown risks,"AI's limitations, errors, and reliability",,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,e2fdbd8f-0863-4fbd-8897-30b29757d7cf,How much control the government should have over AI use in the UK and whether there should be an input from voters on this matter.,Neutral,Government oversight and global governance of AI,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,e2ff2efe-d7a0-4e2b-9fd4-38cd8fbf4ee2,"How will the proliferation of AI and the next generation of its development be governed globally, given that each county will have its own rules & legislation, which may infringe other countries rules, but the reach of all will be global?",Neutral,AI's future development and unknown risks,Government oversight and global governance of AI,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,92040296-e467-4a7e-a733-87127e7a304e,"I WOULD JUST ADD THAT AI SHOULD FEEL LIKE A HELPFUL TEAMMATE, NOT SOMETHING THAT TAKES OVER.IT IS IMPORTANT THAT FAMILIES FEEL IN CONTROL AND SUPPORTED ESPECIALLY DURING THOUGH MOMENTS. ALSO, CLEAR COMMUNICATION FROM THE AI MAKES A BIG DIFFERENCE IN BUILDING TRUST",Neutral,AI's influence on autonomy and decision-making,Concerns about AI replacing human interaction,Human-AI collaboration and maintaining human control,Trust in AI and its developers,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,f2d57aad-286d-4dd7-85f5-a92348144cb2,"I am concerned about my job but aside from that, I think AI is the best thing to happen to humanity. ",Neutral,Job loss and employment impacts of AI,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,b5aafb0f-b08c-4c0b-b492-b541f0367c11,I am concerned about the tendency of AI to confabulate and be entirely unaware of its own gaps in knowledge and ability. I want it to say it does not know if it does not know.,Negative,"AI's limitations, errors, and reliability",,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,0a4fe6aa-c365-43e3-bb20-b1e619eb7bb0,I am concerned that AI reinforces what it thinks you want to hear i.e. saying yes it is and hallucinating when it's wrong or persuades and convinces you to do something which is inadvisable like killing yourself.,Negative,"AI misinformation, deepfakes, and manipulation",AI's influence on autonomy and decision-making,"AI's limitations, errors, and reliability",,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,f710bfb0-88bf-4783-9f21-b98563757ad6,I am concerned that technology such as this will be forced on us. I am a senior citizen and feel uncomfortable that contact with real people will be reduced. This is already happening and I am very concerned that doctors and other medical professional in particular will be replace by AI. This would be a disaster as doctors pick up other signs and symptoms when they see a patient in person. AI would miss these signs and this could be fatal. ,Negative,AI's role in healthcare and medical decisions,Concerns about AI replacing human interaction,Inclusivity for all ages and abilities in AI design,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,71ad6d4f-c10a-4388-940d-95f86e6a7918,I am excited about ai it will just take time for confidence to grow ,Positive,Trust in AI and its developers,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,7dfbf513-704d-484e-87dc-a0f1efa72df4,"I am not sure the importance of human in the loop was covered. And also the need for societal change to eg a 3 day work week and universal basic income, to handle the job market chnages.",Neutral,Human-AI collaboration and maintaining human control,Job loss and employment impacts of AI,Societal and cultural impacts of AI adoption,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,8b7661f9-13b6-4e31-815b-60d2ed9d3070,"I am wary about AI but can also see its benefits. As a nurse of over 40 years i think the medical field is where I am particularly wary but on the other hand, the more activities like this i take part in, I can also see the benefits it could have. I think the biggest fear is losing control and autonomy over decisions,  or something going wrong in the process which could cause distress or harm, or carrying out an action that cannot be revoked ",Neutral,AI's influence on autonomy and decision-making,"AI's limitations, errors, and reliability",AI's role in healthcare and medical decisions,Human-AI collaboration and maintaining human control,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,ddd54459-c4ff-46c4-abe5-611f0eca2c5a,"I appreciated the opportunity to reflect on trust in AI assistants. One area I feel was underexplored is how assistants handle conflicting values, especially in family contexts where emotional nuance, cultural sensitivity, and developmental priorities intersect. Trust isn’t just about transparency or reliability; it’s about whether the assistant can scaffold decisions that respect autonomy, context, and long-term wellbeing. I’d welcome future surveys that test how assistants navigate ethical ten",Neutral,AI's effect on human relationships and social connection,AI's influence on autonomy and decision-making,Societal and cultural impacts of AI adoption,Trust in AI and its developers,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,38a02deb-b75d-41a2-9ae3-8bf1d85108b0,"I assume you've put a lot of work into designing this survey to ensure all of your topics of concern have been covered adequately.


I'd say there's always going to be a slight wary reaction to automated data handling, considering the value of data and frequency of data-related theft/crime, with more caution towards security of finance and payment methods, this is all likely to get better over time, assuming there are no major breaches or mistakes in the beginning of the project.",Neutral,Data privacy and security,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,551abb19-4a90-499d-b642-ed930aa7ce8e,"I believe that AI assistants can really help humans. But I do not believe it should completely remove humans from roles. Life is not about efficiency; it is about connection. And, AI can help both connection and disconnection. It is a slippery slope.",Neutral,AI's effect on human relationships and social connection,Human-AI collaboration and maintaining human control,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,039f8a4c-72e3-4f92-b66c-ce979be2ba65,"I believe that AI should be grounded in a right to free speech meaning that it should handle controversial conversations in an uncensored and unbiased way. Current iterations struggle to answer basic questions like what is a woman, is a man or woman likely to be physically stronger. It should be truth seeking and not built to affirm it's creators political views. ",Neutral,"AI bias, fairness, and inclusivity",Ethical concerns and AI regulation,Trust in AI and its developers,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,e7458b65-54d9-4bd5-acc9-f98d9dc0a021,I cannot think of anything as I think this study was easy to fill and was concise in the questions asked,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,36e0b852-9448-4de3-be06-d087cc924925,I could have delved a little more into accountability of AI companies for mistakes and underperforming AI assistants. AI can also produce a lot of misinformation that can be exploited by criminals,Negative,"AI misinformation, deepfakes, and manipulation",Transparency and accountability of AI companies,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,b1e23c6c-039c-4f6c-b0fe-b24a593cb3e3,I could provide my preference between two different options but not if I don’t agee with either,Neutral,Desire for more open-ended survey responses,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,f4626d34-fd23-4630-a975-3b24ffb7cb2f,I dislike the common feature of AI chatbots on websites (with no other human behind it). They can barely answer a basic question and end up stating no reps are available. It's frustrating and seems like a waste of my time.,Negative,AI's use in customer service and daily life,Concerns about AI replacing human interaction,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,0118f9c0-9d58-48dd-8210-7e91612e34bb,I do not think so,Neutral,Uninformative answer,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,677cda7e-7270-4557-80e4-17037d281c94,"I don't feel ready to hand too much over to AI, yet (if ever). It is fascinating though.",Neutral,Human-AI collaboration and maintaining human control,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,c8d98008-6555-4407-bf2e-6b9576a58da7,I don't think l need to add anymore,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,9676dff5-4a8a-45f4-858a-1f038ef6c60a,I don't think so,Neutral,Uninformative answer,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,cd439d91-e251-4a6c-ac25-9e710f041280,I don't think so. It was really interesting to think about the future of AI.,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,bb49b622-3a64-4c91-882f-5ec4ce3286e1,"I don't work, so some of the questions weren't applicable to me.  I tried to answer appropriately.

I also believe that AI is already being used (e.g. in approving bank loans) so it doesn't really matter if I am comfortable with this or not, it is actually happening.",Neutral,Job loss and employment impacts of AI,Other,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,bc5a8e77-11cc-45e9-9ae9-e907b73daebd,I dont think there was anything else to mention,Neutral,Uninformative answer,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,166a1176-8ec0-4008-8c5b-80321f0781ad,"I don’t think AI should be used for any personal information (health concerns, relationships, emotional distress etc)",Negative,AI's effect on human relationships and social connection,AI's impact on mental health and wellbeing,AI's role in healthcare and medical decisions,Data privacy and security,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,2f323965-abbd-4611-a661-aa069001b711,I don’t think so,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,285204c8-59af-4cc9-8b55-c32d042cc9cf,I don’t think so ,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,e9ddedcc-8769-42e6-be8d-21caa1ea0990,I enjoyed completing this survey ,Positive,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,ee4f19eb-c81c-42ea-9389-4539081ec5b0,"I expect AI to develop in new and exciting ways, but I don't know what they are. So, while I'm sure there were lots of issues that could have been covered, I'm not sure what they are. ",Neutral,AI's future development and unknown risks,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,d2c742be-14ee-4be7-aa1c-fc20a0894e2a,"I feel I use AI without realising, it’s made me think and I also feel there needs to be more discussion and awareness in society for everyone to learn about AI. ",Neutral,Need for more public education about AI,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,7868fb27-16f2-418a-985d-2cc9a147995f,"I feel exciting times are ahead concerning AI Technology but on the other hand,it’s very scary! ",Neutral,AI's future development and unknown risks,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,36a541ab-2279-4c5d-8e77-ac47ba767886,I feel it covered on a high level how I feel about AI but an important topic around training AI in the right manner including impacts on one's own self-image as a result of this is highly ignored at the moment. ,Negative,AI's future development and unknown risks,AI's impact on mental health and wellbeing,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,fed36cfb-e947-4331-a5a5-2422ed9884e9,I feel like there were not enough questions in regards to the likely effect of AI on unemployment and the cost of living crisis.,Negative,Cost and affordability of AI services,Job loss and employment impacts of AI,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,80bfe81a-cdfa-4a07-8d76-3da77fba12d5,I feel that there are many concerns when it comes to employment and I agree with Bill Gates that we need to start taxing robots and paying a Universal Basic Income. I feel this is the most important thing. ,Neutral,Job loss and employment impacts of AI,Societal and cultural impacts of AI adoption,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,50375d87-0f8e-4e8f-96d2-599ccf71761c,"I feel there should have been more opportunities for writing view in text boxes, not just multiple choice. ",Negative,Desire for more open-ended survey responses,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,e77bca7f-21f3-4fe9-b7a8-47977e6c7749,"I feel uneasy about how quickly ai has been accepted and implemented everywhere. It's making people more and more reliant on technology...what happens when technology fails or glitches.

There is potential for it to do real harm to some people eg people who believe they are in relationships with their ai assistant etc",Neutral,AI's effect on human relationships and social connection,AI's future development and unknown risks,AI's impact on mental health and wellbeing,AI's influence on human skills and critical thinking,"AI's limitations, errors, and reliability",,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,28931a2f-0284-46ea-94af-c811493f534b,I feel we discussed pretty much everything about the AI,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,bb76a115-5559-42ee-9463-46706b7b9f28,I feel you covered things quite well. It’s hard to gauge my future trust in AI as someone who is untrusting but the scenario and putting myself in the position of having the assistant helped. But I’m not sure if I could ever fully trust it without human intervention and second opinions when relating to health,Neutral,AI's role in healthcare and medical decisions,Human-AI collaboration and maintaining human control,Trust in AI and its developers,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,98877555-7013-4875-8e08-05d21947c97d,I find it hard to express the mix of distrust and optimism I have regarding AI. It may be this survey has managed that but I am unsure.,Negative,Trust in AI and its developers,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,0b590823-5b98-4dfe-a452-6f1276fa467a,"I found it rather interesting. I've only really dipped my toe into actually using it myself. I have a lot to learn before I even comprehend just what tasks AI can do.

Best of luck.",Neutral,Need for more public education about AI,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,7882a501-c1fd-402a-a480-1894623e6eb9,"I gennerally like the idea of AI's remaining assistants, not having total control over my live and how I choose to live it.",Neutral,AI's influence on autonomy and decision-making,Human-AI collaboration and maintaining human control,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,c098d642-34e0-48a3-b129-580eb7c1c066,I guess I'm just concerned that any conversations I have with AI would be available as a transcript for a human to read. ,Neutral,Data privacy and security,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,3467576a-a5e8-4ac6-b970-aef2536626f6,I have no further comments ,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,71879ca6-1346-4e3e-9751-651fe9515dc1,I have nothing else,Neutral,Other,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,9550c5a4-2943-4ae6-afae-5e464a404d16,I have the opinion that the current AI hype is a bubble similar to that of the dotcom bubble of the early 2000s. It is undeniable that we can not go back but caution needs broad application ,Neutral,AI's future development and unknown risks,Ethical concerns and AI regulation,Societal and cultural impacts of AI adoption,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,c222884b-7c3d-4e00-b6cf-d8f167ceb9bd,I just found out recently that the development of AI is damaging for the environment so I can't fully support it even though it has benefitted me greatly in the past 2 years of me using it.,Negative,Environmental impact of AI,,,,,,,
237f1af0-71ec-43a0-8d00-0d65bed058c0,b472ec28-b2d6-4800-ba93-61c0ecbc2944,"I like the thought of having AI in my day to day life because it can be extremely helpful but i do worry the data, safe information etc can be used in a sinister way by the companies / Government. Potential jobs could also be lost. There are as many negatives as positives with AI ",Neutral,Data privacy and security,Job loss and employment impacts of AI,,,,,,
