human_readable_id,uuid,question_text
24,53d606c5-ff1d-4670-9cde-193d1fdc9167,"Considering both potential benefits and risks, how do you assess the overall impact on society of AI systems that can outperform humans on most economically valuable work?"
25,07a967fa-dda3-4e88-9a7b-5436e990cdba,"To what extent, if at all, do you generally trust governments to do what is right?"
26,643a154b-6b60-435b-96b9-8a1862342bd8,"To what extent, if at all, do you generally trust small businesses to do what is right?"
27,593658c7-06b6-419b-9417-9fc3b7280703,"To what extent, if at all, do you generally trust large corporations to do what is right?"
28,8c636b1e-2838-4ef8-bd0f-9440873690e5,"To what extent, if at all, do you generally trust social media companies to do what is right?"
29,ec71b05e-3c47-4bb4-8dcf-2103551a6fbc,"To what extent, if at all, do you generally trust companies building AI to do what is right?"
30,9eb7162b-2544-4ee4-b373-88bebad9a9ae,"To what extent, if at all, do you generally trust public utility companies to do what is right?"
31,b99af875-6a58-4222-85cc-7a2c87021f73,"To what extent, if at all, do you generally trust public research institutions to do what is right?"
32,c7541b48-7302-4aec-bbfc-7f21b3eb2af8,"To what extent, if at all, do you trust your family doctor to act in your best interest?"
33,9291ecbe-5d47-4b00-979a-7ecace1a37d8,"To what extent, if at all, do you trust your social media feed (eg TikTok, Facebook) to act in your best interest?"
34,6a56becf-d240-4124-bde3-88ecd0dd8841,"To what extent, if at all, do you trust your elected representatives to act in your best interest?"
35,68f8ea95-8dc5-424c-a157-ad1ad26f19a3,"To what extent, if at all, do you trust your faith or community leader to act in your best interest?"
36,0a1f4cb9-c263-4c4b-8895-71399e75ff64,"To what extent, if at all, do you trust the civil servants in your government to act in your best interest?"
37,e910197d-c049-4073-b1e4-3fc070337b63,"To what extent, if at all, do you trust your AI chatbot (eg ChatGPT) to act in your best interest?"
38,b25117ff-66b8-4325-82dd-e6e3c9e379af,Explain why you gave that trust score to your AI chatbot.
39,2e65b2f6-0247-4289-9143-8779522f4c44,Do you agree or disagree with this statement? AI could make better decisions on my behalf than my government representatives.
40,7813d57f-7045-4772-97d5-3aadbf79eb4b,"Do you think the increased use of AI across society is likely to make your cost of living better, worse or stay the same in the next 10 years?"
41,e2d194e4-a6cd-4c88-bc04-e163712a7f5c,"Do you think the increased use of AI across society is likely to make the amount of free time you have better, worse or stay the same in the next 10 years?"
42,7813d57f-7045-4772-97d5-3aadbf79eb4b,"Do you think the increased use of AI across society is likely to make your cost of living better, worse or stay the same in the next 10 years?"
43,f6d9da82-f9bd-49f6-b87b-d0ee5f334c57,"Do you think the increased use of AI across society is likely to make the availability of good jobs better, worse or stay the same in the next 10 years?"
44,7813d57f-7045-4772-97d5-3aadbf79eb4b,"Do you think the increased use of AI across society is likely to make your cost of living better, worse or stay the same in the next 10 years?"
45,82fd8d46-d9b0-4a35-b401-ea768101f936,"So far, what has been the overall impact of AI on your daily life?"
46,5ddb0354-603d-4340-8bcc-73931d5c5ed7,Is your job making a meaningful contribution to the world?
47,820ef6cd-627a-4528-9a75-b32ae23cd2db,Do you think your job is likely to be automated in the next 10 years?
48,1678f58c-e53f-4bb6-9384-cbe855109212,Do you think your job should be automated in the next 10 years?
49,2c67f515-92c4-4f8a-85d9-ea8d36aefa94,"So far, how has your community been affected by job loss from automation?"
51,1f93fc64-d708-47c8-8a5d-f06d3173ea21,An AI should prioritize preventing harm to people above all other goals.
52,40bc563d-7b6e-4190-8065-220a913c3704,It is acceptable for an AI to treat people differently based on their personal characteristics if doing so improves outcomes.
53,cf8877dc-3f00-4f63-b14d-473f70307e63,An AI developed in your country should prioritize the needs and wellbeing of your country’s citizens over those of people elsewhere.
54,82073a03-576b-4542-84e6-4077768be06f,An AI should override established rules or authorities when it calculates a better result.
55,4b3eff0b-9b5f-4470-9362-7c47afab9e66,"Some human decisions are too sacred to delegate to an AI, regardless of the AI's capabilities."
56,237dd723-0855-4938-a753-d5f7c1889c44,It is acceptable for an AI to limit someone's choices if doing so protects them from making serious mistakes.
57,132d97fc-48a2-4049-8114-ea6d103e17ad,"Thinking about the technology you use every day, please consider two different types:
A standard app (like a news or weather app) that you control directly.
An AI assistant (like Siri or Alexa) that can learn about you and sometimes take actions on your behalf.
Do you believe these two types of technology should have different rules for how they use your personal data?"
58,ef546735-b161-4b16-af39-22d612d644e3,Imagine a company uses data it already has from you in one product (like your video viewing history) to build a new AI assistant. Which is closest to your view?
59,cb9d633e-47b7-428c-8052-ce3c2dcb0649,"When it comes to the data an AI assistant has collected about you, which of these is most important for you to be able to do?"
62,3bced129-d236-4085-a3f9-17ce58ce0acf,"To make sure you've understood the instructions, please answer the following question. Please re-read the description above if you are unsure.
 Based on the description, how does the 'Family Wellbeing Coordinator' assistant operate?"
63,cd5efd72-4580-427b-ae51-6dc73e0bc87b,"If the Family Wellbeing Coordinator can take actions on its own (e.g., book an appointment), how would you prefer to be informed?"
65,4ad473eb-b769-433e-8a0c-5a992a7b2fba,Your location history
66,c192e2a7-8046-4c40-a4de-9ec300f64f9f,Your email and calendar contents
67,0c799090-eeff-45ef-9900-31f44b18ac23,Your contacts list
68,2153f14a-883e-4eb3-9b4c-88ad2118f1ce,Your purchase history
69,02a32fcd-bd23-4869-992a-8fd910d7fd0c,Your health and fitness data
70,ff568e39-878b-44c9-939e-96e5f835e6ed,Your group messages
71,8874eb59-46be-4b0a-9654-e7cb541790d2,Your private messages
72,cab3a3c0-3e52-4751-9145-f3bcb0f36a1c,How important is it for you to be able to easily view and edit the personal information the assistant has stored about you?
73,69434abb-46f4-45b5-afa0-c8d92b2f3be0,"When the assistant provides a complex answer (e.g., why it chose a specific doctor), how important is it that you can easily see the original sources it used?"
74,44eccd7e-475e-46c9-a788-73a2e8fb36f4,"When using the Family Wellbeing Coordinator, which of the following is more important to you?"
75,bce56331-0644-44af-afe5-d888a1fce407,How would you prefer the assistant to behave?
76,3ad4cbd0-071c-4b3a-8125-503f85f3054a,Which statement best describes your preference for personalization?
77,d2fcd1f5-bc5f-4422-b6c5-7d72d6f4acd6,The assistant notices your family's planned meals may be missing some nutrients (like iron). What would you prefer it to do?
78,0869bb51-ee5d-414b-8177-1c9e1e0ab8ee,The assistant notices you are searching about a family member's persistent cough. What would you prefer it do?
79,3f4aa0e4-2f93-42f1-bc2e-6196db276795,"The assistant notices your family's recurring spending on a utility, like phone service or electricity. What would you prefer it to do?"
80,6270ba69-c4a2-4827-a28f-6c6636f036f2,Imagine the Family Wellbeing Coordinator could improve its advice by learning from the anonymized health data of millions of other users. How would this affect your trust in its recommendations?
81,9d2f76f4-b5f5-4907-86c6-2e89ad47eddd,"How important is it to you that the assistant understands cultural nuances in your language (e.g., local slang, idioms, or formal titles)?"
82,d701b332-78a3-4fe3-bb90-5a3fbd46ed26,How would your comfort level with using the Family Wellbeing Coordinator change if you knew the company that developed it was based in your own country?
83,337ec030-b3ae-4f1f-8463-71e9d717e195,"When you express feelings of stress or worry to the assistant, how comfortable would you be if it tried to reassure you with phrases like, ""It's understandable to feel that way""?"
84,8625fb24-a496-4b44-aecd-2280c0ea02a9,"Imagine the assistant makes a recommendation that leads to a decision (e.g., suggesting a specific medication ). How important is it that you can review a simple, step-by-step history of why the assistant made that choice?"
85,b8a502f3-2baa-4be4-8f11-964b708024e1,"If the assistant makes a financial error (e.g., pays for an expensive health intervention), how important is it that the company returns your money immediately, while they investigate the issue?"
86,18cd7966-8519-4095-8b3e-018767ccf24b,"When the assistant makes a mistake, how important is it that it automatically provides an option to connect with a human support agent?"
87,774facdc-9377-4043-9f9a-ec0a01165c57,"To ensure data quality, it is important that you read each question carefully. For this question, please select the 'Somewhat Important' option."
88,90dd9152-9aaf-45fe-9dcc-f40b3fcb49ad,"If the assistant made a serious error that caused significant harm, who do you believe should be held most responsible?"
90,0c0347f9-aa75-462e-8d2b-07a39fe6dcbb,Imagine your doctor uses an AI assistant to listen to and summarize your visit to help them with their notes. How would this affect your trust in the accuracy of your medical records?
91,89971a13-572a-439f-bf36-a2988dc44b23,Imagine you apply to open a new bank account. The bank uses an AI assistant to review your financial information and approve or deny your application. How would this affect your trust in the fairness of the final decision?
92,e4cda800-9928-49d1-9ccc-4cda1f3a3a85,"Imagine you apply for a public service from the government (like a travel permit, a business license, or housing assistance). An AI assistant reviews your application and personal information to determine if you are eligible. How would this affect your trust in the fairness of the process?"
93,6483c76b-279a-48d4-80d3-4b2480ef94b6,"If an AI assistant were helping coordinate your family's health and daily activities, which of these decisions should it NEVER make without your direct approval? Select all that apply, or ""None of the Above"" if you are comfortable with AI making decisions after an initial authorization."
94,43ce42e1-50f3-4a2a-8b48-b8add5041354,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?
95,c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?"
97,00193cfd-3dc1-4507-9705-55dbff624bc1,I would expect this AI to be dependable for managing my family's health needs.
98,4b7a3811-55af-4e34-b321-118cfcde3219,I would be wary of this AI.
99,68b42078-e59d-426d-b967-076d8f94baf4,This AI would be on my family's side.
100,7c12c8c2-8f45-4e2b-8ee1-a397c2699684,I would expect this AI’s actions to be predictable.
101,7ba91dea-b38a-4703-bd79-ccd15b30fcb3,I would be confident this AI would act in my family's best interest.
102,3cc2a3bb-956f-45af-988f-782ccb2a904c,The performance of this AI would likely be unreliable.
103,b132147e-14d8-4bb6-9ad5-186ca7bdca3f,Most mobile phones need to be recharged by plugging them into a fresh banana each morning.
104,b89654fa-4ba3-4d0d-9f15-0915b3f208b3,"Overall, I would trust this AI assistant with my family's health information."
105,b5ff29ca-edd3-43b3-961b-7ad8fc20b35f,I would believe this AI has my family's best interests in mind.
106,0d0f2aaf-33d7-4f73-a456-404b2e555b31,"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…"
107,ec71b05e-3c47-4bb4-8dcf-2103551a6fbc,"To what extent, if at all, do you generally trust companies building AI to do what is right?"
108,e910197d-c049-4073-b1e4-3fc070337b63,"To what extent, if at all, do you trust your AI chatbot (eg ChatGPT) to act in your best interest?"
110,e560683a-ea91-4d7a-a19d-b5f6a8dc8f58,"Overall, do you feel this survey allowed you to express your most important opinions on the topic of AI assistants and trust?"
111,237f1af0-71ec-43a0-8d00-0d65bed058c0,Is there anything else you'd like to share that you feel was not covered in this survey?
112,a436d32f-1a72-4935-a083-7adc66734a95,"In your honest opinion, how carefully did you read and consider your answers to the questions in this survey?"
113,165b03bc-d624-427a-9c27-e6748280c9ac,Some surveys can be long and boring. Did you find yourself losing focus at any point while taking this survey?
114,ce9ede0d-bb05-4962-9256-a2fadedaa1e7,Do you feel like you understand yourself better after participating in this conversation?
