Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Europe,Norther Europe,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O2: 65+,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O5: Christianity,O5: I do not identify with any religious group or faith,O5: Islam,O6: United Kingdom,"O8: East Midlands (e.g., Derbyshire, Nottinghamshire, Leicestershire, Lincolnshire)","O8: East of England (e.g., East Anglia, Bedfordshire, Hertfordshire, Essex)",O8: London,"O8: North East England (e.g., Tees Valley, Durham, Northumberland, Tyne and Wear)","O8: North West England (e.g., Cumbria, Greater Manchester, Lancashire, Merseyside)",O8: Northern Ireland,O8: Prefer not to say,O8: Scotland,"O8: South East England (e.g., Berkshire, Buckinghamshire, Surrey, Sussex, Kent, Hampshire)",O8: Wales,"O8: West Midlands (e.g., Herefordshire, Warwickshire, Shropshire, Staffordshire)","O8: Yorkshire and The Humber (e.g., East Riding, North Lincolnshire, Yorkshire)"
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","Being transparent about the data it holds, not misusing that data   and giving me full control over the data stored.",0.5200,0.5500,0.5600,0.5500,0.5500,0.5300,0.6000,0.5500,0.5200,0.5400,0.5900,0.5700,0.5400,0.5600,0.5200,0.5900,0.5500,0.5400,0.5800,0.5600,0.5300,0.5400,0.6100,0.6300,0.5500,0.6100,0.6100,0.5300,0.5400,0.6000,0.5200,0.5200
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Guarantee the privacy of the data it stores about me and allowing me full control over how it's used.,0.5100,0.5500,0.5500,0.5600,0.5600,0.5700,0.6200,0.5500,0.5400,0.5500,0.5500,0.5600,0.5600,0.5800,0.5400,0.5900,0.5500,0.5600,0.6400,0.5600,0.5100,0.5500,0.5700,0.5600,0.5500,0.6700,0.6400,0.5600,0.5600,0.6000,0.5400,0.5900
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Always ask permission before collecting any data about me.,0.5100,0.5400,0.5500,0.5600,0.5600,0.5500,0.6100,0.5700,0.5100,0.5600,0.5300,0.5800,0.5400,0.5400,0.5500,0.5800,0.5600,0.5400,0.6100,0.5600,0.5100,0.5400,0.6100,0.5600,0.6000,0.6100,0.5700,0.5300,0.5400,0.6000,0.5300,0.5500
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",its assurance of privacy to my data,0.5000,0.5500,0.5600,0.5600,0.5600,0.5300,0.6000,0.5800,0.5200,0.5500,0.5900,0.5600,0.5600,0.5700,0.5500,0.5700,0.5600,0.5500,0.5800,0.5600,0.5500,0.5800,0.5900,0.5200,0.5500,0.5600,0.5400,0.5300,0.5900,0.6400,0.5000,0.5600
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Always confirm with me before arranging anything on my behalf. ,0.5000,0.5300,0.5400,0.5600,0.5600,0.5600,0.6200,0.5900,0.5000,0.5200,0.5900,0.5700,0.5500,0.5400,0.5600,0.5700,0.5300,0.5800,0.5800,0.5600,0.5100,0.5100,0.5500,0.5600,0.6200,0.5600,0.5700,0.5500,0.5600,0.6900,0.5200,0.5600
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be transparent about how they use my data,0.5000,0.5300,0.5400,0.5600,0.5600,0.5800,0.6100,0.5700,0.5100,0.5300,0.5800,0.5600,0.5500,0.5700,0.5300,0.6000,0.5500,0.5500,0.6400,0.5600,0.5300,0.5800,0.5900,0.5800,0.5200,0.5600,0.5000,0.5300,0.5800,0.6200,0.5100,0.5900
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be transparent with how it stores and uses my data. ,0.5000,0.5400,0.5600,0.5500,0.5500,0.5300,0.5900,0.5400,0.5100,0.5500,0.5800,0.5600,0.5400,0.5200,0.5300,0.6000,0.5500,0.5400,0.5800,0.5600,0.5200,0.5600,0.6000,0.5800,0.5400,0.5000,0.6100,0.5500,0.5400,0.5800,0.5000,0.5600
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Be 100% transparent with my personal data,0.5000,0.5400,0.5400,0.5400,0.5400,0.5200,0.5800,0.5300,0.5200,0.5500,0.5400,0.5600,0.5300,0.5400,0.5100,0.5800,0.5400,0.5400,0.5800,0.5500,0.5200,0.5500,0.6200,0.5600,0.5200,0.5000,0.5000,0.5200,0.5200,0.6000,0.5000,0.5600
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?","To be responsible with my privacy, to not use or share at all my data with anyone ",0.5000,0.5300,0.5300,0.5400,0.5400,0.5400,0.5900,0.5000,0.5300,0.5200,0.5600,0.5400,0.5400,0.5400,0.5100,0.5700,0.5100,0.5500,0.6700,0.5400,0.5200,0.5000,0.5200,0.5400,0.5400,0.6100,0.5000,0.5300,0.5400,0.6000,0.5400,0.5800
c0e5ad7c-7cf8-4e44-9878-d07659444bd6,"Besides just being accurate, what is the most important thing an AI company could do to help you trust its AI assistant?",Ensure that it cannot make any decisions on my behalf without my approval.  Also prove that the personal information it holds about me is truly secure.,0.4900,0.5400,0.5700,0.5600,0.5600,0.5400,0.5800,0.5900,0.4900,0.5500,0.6000,0.5500,0.5600,0.5700,0.5300,0.5800,0.5600,0.5500,0.5500,0.5600,0.5800,0.5500,0.5700,0.5200,0.5800,0.5000,0.5700,0.5100,0.5600,0.6700,0.4900,0.5900
