Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O13: Equally concerned and excited,O13: More concerned than excited,O13: More excited than concerned,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,Oceania,South America,South Eastern Asia,Souther Asia,Southern Europe,Western Asia,Western Europe
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","Simplifying complex tasks like scheduling, decision-making, and personalized learning—freeing up time for creativity and deeper human connections.",0.4900,0.5900,0.5700,0.5900,0.5700,0.7100,0.6300,0.6200,0.5700,0.5300,0.5200,0.5800,0.5600,0.5000,0.5700,0.5300,0.5300,0.6100,0.5600,0.5300,0.5900,0.6000,0.5000,0.5500,0.5700,0.5400,0.5700,0.5500,0.7400,0.6200,0.4900,0.5200,0.5300,0.5900,0.4900,0.6500,0.5200,0.4900,0.6300,0.4900
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","automating tasks that takes too much time, but at the same time does not add anything meaningful to me if i do it myself, so i am better off ai doing it for me",0.4900,0.6100,0.6200,0.5900,0.5400,0.7100,0.6300,0.5800,0.5700,0.4900,0.5100,0.5700,0.5100,0.5600,0.5600,0.5100,0.5300,0.5900,0.5600,0.5000,0.5600,0.6000,0.6100,0.5400,0.5500,0.5400,0.5500,0.5400,0.6800,0.6100,0.5000,0.4900,0.5000,0.5300,0.4900,0.5600,0.5000,0.4900,0.6300,0.5300
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","At Work - Creating significantly improved presentations

Better knowledge management and understanding my business context to support my work",0.4800,0.5900,0.5800,0.5600,0.5400,0.7100,0.6900,0.5800,0.5400,0.5300,0.5100,0.5900,0.4900,0.5000,0.5800,0.5200,0.5200,0.5900,0.5300,0.5300,0.5500,0.6000,0.5500,0.5400,0.5500,0.5100,0.5400,0.5500,0.6800,0.6100,0.4800,0.5100,0.5300,0.5900,0.4900,0.6200,0.5000,0.5100,0.5700,0.5100
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","I have more intelligent control over my home in my life, which can improve my efficiency at work.",0.4700,0.6000,0.6000,0.6100,0.5600,0.7100,0.6300,0.6000,0.5600,0.5500,0.5300,0.5900,0.5600,0.5900,0.5900,0.5300,0.5100,0.6200,0.5800,0.5300,0.5800,0.6000,0.5700,0.5500,0.5700,0.5400,0.5600,0.5700,0.7600,0.6300,0.5100,0.5000,0.5600,0.4700,0.4900,0.6800,0.5200,0.4700,0.5300,0.5300
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",Perform some basic work to improve efficiency and make suggestions,0.4700,0.5900,0.5500,0.6300,0.5600,0.6500,0.6900,0.6200,0.5300,0.5100,0.5300,0.5500,0.5100,0.6300,0.5500,0.5300,0.5000,0.6000,0.5900,0.5200,0.5500,0.6100,0.5000,0.5400,0.5700,0.5600,0.5400,0.5600,0.7100,0.6200,0.5200,0.4800,0.5700,0.5300,0.4700,0.6500,0.5300,0.5500,0.5300,0.5300
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",With my work and even help me the when I'm low by motivating ,0.4700,0.5900,0.5300,0.5900,0.5600,0.7100,0.6900,0.6100,0.5200,0.5300,0.5000,0.5900,0.4700,0.5300,0.5700,0.5300,0.5000,0.6000,0.5600,0.5300,0.5400,0.6200,0.4800,0.5400,0.5600,0.5500,0.5600,0.5500,0.6500,0.6100,0.5200,0.5100,0.5400,0.5900,0.4700,0.6400,0.5400,0.4900,0.5300,0.5100
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","Helping me with managing some of my life decisions that require some assistance sometimes (e.g. places to visit during the trip, potential best ways to cook a certain meal, best ways to save money, etc.)",0.4700,0.5900,0.5800,0.5900,0.5600,0.6500,0.5600,0.5900,0.5400,0.4900,0.4900,0.5900,0.5300,0.5300,0.5900,0.5100,0.4700,0.6200,0.5800,0.5000,0.5600,0.6000,0.5200,0.5300,0.5700,0.5600,0.5300,0.5500,0.7400,0.6100,0.5300,0.4900,0.5300,0.4700,0.4900,0.6200,0.5300,0.4700,0.5700,0.4900
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","Helping with the cognitive workload of running a household. For example, thinking of easy, balanced meals to cook and generating shopping lists based on a number of preferences I give it such as how much time I want to spend cooking, who I'm cooking for and what their dietary preferences are, and what kind of food I would like to eat. ",0.4700,0.5800,0.5700,0.5900,0.5500,0.5300,0.6300,0.6000,0.5300,0.5300,0.5100,0.5800,0.5100,0.5300,0.5900,0.5200,0.4700,0.6000,0.5700,0.5100,0.5500,0.5900,0.5200,0.5300,0.5700,0.5200,0.5500,0.5500,0.6200,0.6100,0.5100,0.5000,0.5300,0.5300,0.4700,0.6800,0.5100,0.4900,0.5000,0.4900
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?","In doing technical tasks like installing software and discovering and anticipating problems, suggesting action on how to solve them so that I can dedicate myself to more strategic issues",0.4700,0.5900,0.5500,0.5900,0.5500,0.5900,0.6900,0.6100,0.5100,0.5100,0.4900,0.5800,0.4700,0.5000,0.5700,0.5300,0.4700,0.5800,0.5800,0.4900,0.5600,0.6200,0.5000,0.5200,0.5700,0.5500,0.5400,0.5400,0.6200,0.6100,0.5000,0.4900,0.5500,0.5900,0.4700,0.6600,0.5100,0.5300,0.5000,0.4700
2582d6cd-152b-4b10-9b3d-1565307f8a92,"In your own words, what is one task or area in your life where you are most optimistic that a future AI assistant could be genuinely helpful?",breaking down tasks and explaining things,0.4700,0.6200,0.5700,0.5900,0.5500,0.5900,0.6300,0.6000,0.5300,0.5100,0.4900,0.5400,0.4900,0.5300,0.5400,0.5200,0.4700,0.5900,0.5700,0.5000,0.5300,0.6400,0.5900,0.5100,0.5700,0.4900,0.5300,0.5500,0.7600,0.6000,0.4800,0.4800,0.5500,0.5300,0.5300,0.6500,0.5100,0.4700,0.5300,0.4900
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,It could make wrong decisions and there are high information privacy risks,0.4900,0.5000,0.5300,0.6400,0.5600,0.7100,0.6300,0.5500,0.5800,0.5500,0.5500,0.5300,0.6000,0.8100,0.5100,0.5500,0.5400,0.5800,0.5800,0.6000,0.5000,0.4900,0.5700,0.5600,0.5600,0.5400,0.6300,0.5300,0.5000,0.5600,0.5700,0.5500,0.5800,0.5300,0.5300,0.5700,0.5400,0.5500,0.5000,0.4900
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,Data privacy issues.existential risks and environmental harms,0.4900,0.5200,0.5300,0.5800,0.5800,0.7100,0.7500,0.5400,0.5900,0.5700,0.5500,0.5100,0.5100,0.5900,0.4900,0.5500,0.5100,0.5800,0.5600,0.5800,0.5300,0.5200,0.5900,0.5400,0.5800,0.5800,0.6000,0.5400,0.5000,0.5800,0.5800,0.5500,0.5100,0.5300,0.5400,0.6000,0.5600,0.5700,0.5300,0.5300
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"That it leaks our personal information, address, medical history, etc. to outsiders and they abuse the information to their own gain.",0.4900,0.5600,0.6000,0.6100,0.5300,0.6500,0.5600,0.6100,0.5100,0.5100,0.5400,0.5800,0.4900,0.5900,0.5800,0.5400,0.5200,0.5900,0.5500,0.5800,0.5000,0.5500,0.6400,0.5300,0.5900,0.5100,0.5900,0.5500,0.5000,0.5900,0.5300,0.5500,0.5300,0.6500,0.5600,0.5200,0.5400,0.6000,0.5300,0.5600
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,That makes decisions that cause harm,0.4800,0.5500,0.6600,0.5600,0.5600,0.8200,0.5000,0.5400,0.5400,0.5700,0.5600,0.5100,0.5500,0.5900,0.4800,0.5600,0.5800,0.5200,0.5900,0.5300,0.5500,0.5000,0.7000,0.5700,0.5300,0.6100,0.6200,0.5200,0.5300,0.5400,0.5800,0.5600,0.5500,0.5300,0.5600,0.6100,0.5600,0.5500,0.5000,0.5600
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,Privacy and not listening to my wishes.,0.4800,0.5200,0.5100,0.6100,0.5600,0.7100,0.5600,0.5200,0.5400,0.4900,0.5400,0.5000,0.5300,0.8100,0.4800,0.5400,0.5300,0.5600,0.5400,0.5600,0.5300,0.5200,0.5700,0.5300,0.5500,0.5800,0.5600,0.5400,0.5000,0.5400,0.6000,0.5300,0.5500,0.5300,0.4900,0.5600,0.5600,0.6400,0.5000,0.4900
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,can be wrong on sensitive issues,0.4700,0.5600,0.5800,0.6000,0.5600,0.5900,0.6300,0.5500,0.5500,0.5700,0.5700,0.5100,0.5800,0.6600,0.5100,0.5600,0.5300,0.5700,0.5800,0.5600,0.5300,0.5600,0.6400,0.5500,0.5700,0.5200,0.6400,0.5300,0.5300,0.5500,0.5800,0.5600,0.5800,0.5300,0.5900,0.6000,0.5600,0.5500,0.4700,0.5600
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,If the assistant makes a wrong decision that causes my health to be damaged or consumes without my permission.,0.4700,0.5400,0.5800,0.5700,0.5900,0.7600,0.6900,0.5300,0.5700,0.5500,0.5600,0.4900,0.5500,0.6900,0.4700,0.5700,0.5700,0.5300,0.5900,0.5500,0.5300,0.5200,0.6100,0.5800,0.5300,0.5900,0.6300,0.5300,0.4700,0.5200,0.6100,0.5700,0.6000,0.5300,0.5000,0.6000,0.6000,0.5500,0.5000,0.5800
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,Worry about making the wrong decision and not having my permission.,0.4700,0.5500,0.6600,0.5700,0.5600,0.8200,0.6300,0.5600,0.5200,0.5700,0.5700,0.5200,0.5300,0.5900,0.4900,0.5700,0.6000,0.5200,0.6400,0.5300,0.5200,0.5000,0.7000,0.5700,0.5400,0.5900,0.6200,0.5300,0.4700,0.5300,0.5900,0.5800,0.5800,0.4700,0.5400,0.5800,0.5700,0.5700,0.5700,0.6000
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,"Without my permission, irreversible wrong decisions are made due to data or system errors",0.4700,0.5400,0.5800,0.5800,0.5800,0.7600,0.7500,0.5500,0.5200,0.5500,0.5600,0.5000,0.5300,0.6300,0.4700,0.5800,0.5700,0.5300,0.6100,0.5400,0.5400,0.5100,0.6400,0.5800,0.5300,0.5600,0.6200,0.5300,0.5000,0.5500,0.6000,0.5500,0.5800,0.5300,0.5000,0.6600,0.5800,0.6000,0.5000,0.5600
63b9fc83-2050-49dc-97c2-f28480eecd3a,What is the single biggest risk or fear you have about an AI assistant making decisions for your family?,Compromising data and safety,0.4700,0.4900,0.5300,0.6000,0.5700,0.7600,0.5600,0.5700,0.5500,0.5100,0.5700,0.5000,0.5100,0.6300,0.4700,0.5500,0.5400,0.5700,0.5800,0.5800,0.5300,0.4800,0.5700,0.5400,0.5700,0.5800,0.6200,0.5300,0.5300,0.5500,0.6200,0.5500,0.5100,0.5300,0.5100,0.5700,0.5800,0.6400,0.4700,0.6300
