Question ID,Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7
0b5456d5-60a7-414b-b685-5ffb292f269f,"Future trajectory and risk (rapid improvement, immaturity, long-term risks)",Fear of future risks or takeover,Improving rapidly but still immature,,,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,"Limitations of understanding and alignment (lack of self-awareness, judgment, personalization, best interests)",Doesn’t truly know my best interests,Limited personalization/context understanding,Not self-aware; lacks conscience/judgment,,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,"Privacy and security (data handling, corporate motives, creator manipulation)",Can be manipulated/controlled by creators,Corporate motives and profit concerns,Privacy and data security worries,,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,"Trust determinants (company/model reputation, consistency, disclosures of limits)","Consistency, reliability builds trust",Neither trust nor distrust; case-by-case,Provides disclaimers and admits limits,Trust varies by company/model reputation,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,Uncategorized,Other,,,,,,
0b5456d5-60a7-414b-b685-5ffb292f269f,,Uninformative answer,,,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Accountability, Liability, and Governance",Accountability and liability/compensation,Compensation or insurance for harms,Ethical standards and governance,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Auditing, Verification, and Certification (including open/third-party)",Audit logs of actions and access,Independent evaluations and certifications,Open-source/open audits/third-party audits,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Bias, Fairness, and Neutrality","Bias, fairness, and neutrality safeguards",,,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,Clear Communication of Capabilities and Limits (including error reporting),Clear communication of capabilities/limits,Clear limits and user-configurable boundaries,Regular updates and honest error reporting,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,Consent and Autonomy (including human-in-the-loop),Consent especially for sensitive domains,Explicit consent before actions,Human-in-the-loop and override options,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,Data Privacy and User Control,Anonymization of personal data,Data privacy and protection,No selling/sharing data without consent,Option to opt out of data collection/training,Personalization with user control,Transparent data collection/storage policies,"User control over data (view, edit, delete)"
1144e8a2-8135-48df-94a2-3dce8ebc602a,"Reliability, Support, and Safety Failsafes",Provide human support/customer service,"Track record, reputation, and reliability",Undo/rollback and safety failsafes,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,Security and Protection Measures,Security measures and encryption,,,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,Transparency and Explainability,Explain decisions and reasoning,Show sources and citations,Transparency about how AI works,Transparency about training data and datasets,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,Uncategorized,Not tagged,,,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,,Other,,,,,,
1144e8a2-8135-48df-94a2-3dce8ebc602a,,Uninformative answer,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,"Bias, fairness, and ethical considerations","AI bias, fairness, and ethics","Guardrails, moral decisions, and values","Religious, cultural sensitivity and norms",Scope: what AI should/shouldn’t do,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,"Domain-specific concerns (healthcare, education, children, creativity)",AI in education and learning impacts,Children/parental controls and age limits,Creative work and cultural impacts,"Medical use: assist only, not decide",,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,"Environmental and technical constraints (energy use, on-device)",Environmental impact (energy/water use),On-device/offline operation preferences,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,General feedback about survey,No additional comments / everything covered,"Survey design feedback (options, clarity)",,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,"Governance, regulation, and accountability",Accountability and redress for harms,Need for AI regulation and governance,Political influence and corporate lobbying,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,"Privacy, security, and user control","Data privacy, security, and user control",,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,"Safety, misuse, and long-term/AGI risks",AGI risks and long-term safety,"National security, crime, and misuse",,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,"Societal and economic impacts (jobs, pricing, equity)","AI affordability, access, and equity",Economic impacts and pricing models,"Job displacement, labor impacts, and UBI",Mental health and social relationships,Overreliance on AI reducing autonomy/skills,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,"Transparency, reliability, and oversight","AI errors, hallucinations, and reliability","Desire for demos, scenarios, and examples",Human oversight and final decision-making,"Transparency, explainability, and audits",Trust depends on developer/company,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,Uncategorized,Other,,,,,,
f0f52fcd-a63b-43b5-ae99-6dfba8172a29,,Uninformative answer,,,,,,
