Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10
f35cc562-35e0-4751-ac4d-1222022d228f,"AI has greatly helped me to learn about and compute multiple things which would have taken months of effort.
This has helped me both personally and professionally.",Positive,Faster task completion and time savings,"Learning aid: studying, tutoring, explanations",,,,,,,,
788ec52e-048e-4f31-ac19-8c697c473e13,AI has helped me perform tasks in an efficient manner,Positive,Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,,
550e1f72-e7f8-4532-be73-3ec59e70c635,AI has helped me write code more efficient and faster. It has also given me recommendations about my work projects.,Positive,Coding assistance and debugging,Improved productivity and efficiency at work,Personal decision-making and recommendations,,,,,,,
912ca477-e92d-40b4-bc83-bde3f9a2bc1b,AI has helped reduce my research time tremendously. I don't have to spend so much time researching topics.,Positive,Faster task completion and time savings,Research acceleration and information synthesis,,,,,,,,
489ca3e0-12af-4903-8278-e1336e179d90,AI has increased my productivity at work by providing coding assistance.,Positive,Coding assistance and debugging,Improved productivity and efficiency at work,,,,,,,,
07fc6857-f179-4759-98b8-6e02f0daa4e6,AI has increased my productivity. I have been able to understand the legacy codebases and contribute effectively,Positive,Coding assistance and debugging,Improved productivity and efficiency at work,,,,,,,,
cd74b493-2b35-4960-842a-0913dbf9c6e5,"AI has increasingly impacted my daily life through smarter homes, personalized services, enhanced productivity, and transformations in healthcare, transportation, and education.",Positive,Improved productivity and efficiency at work,More personalized experiences across apps,Other,Smart home and everyday tool integration,,,,,,
a9706d4a-e0b9-4e43-8b66-2d374d42f492,"AI has made creating personalized content, like images, music, and text, much faster and easier in daily life.",Positive,"Content creation: images, music, videos",Faster task completion and time savings,,,,,,,,
77ad7c9d-fae6-4f1b-99a0-27f538e41e60,"AI has made daily tasks faster and easier helping with scheduling, messaging, research but sometimes I worry about over-dependence.
",Neutral,Automation of routine/repetitive tasks,Faster task completion and time savings,Reduced independent thinking/overreliance,"Scheduling, organization, and reminders",,,,,,
bbcedded-5265-4b6d-a4d5-854027b734a4,"AI has made daily tasks faster and more personalized, though it raises concerns about reliance and privacy.",Neutral,Faster task completion and time savings,More personalized experiences across apps,Privacy and security concerns,Reduced independent thinking/overreliance,,,,,,
87027150-9ee9-40e6-9adb-3d6afd681cef,"AI has made daily tasks faster—automating routines, improving communication, and personalizing recommendations, saving time and effort.",Positive,Automation of routine/repetitive tasks,Faster task completion and time savings,More personalized experiences across apps,Quality improvement in communication style,,,,,,
04b6c378-65da-43ab-a0cb-6034508ef303,AI has made daily tasks quicker and more convenient.,Positive,Faster task completion and time savings,,,,,,,,,
555565c8-150d-4eea-bc0e-c1dc0b0d7ad8,AI has made life easier by helping me think creatively and I can ask for it to do various researching.,Positive,Brainstorming and creativity support,Research acceleration and information synthesis,,,,,,,,
1da3142c-0815-4c53-95f7-6b55fff887df,"AI has made me more productive, since I regularly assign routine, repetitive tasks to AI instead of doing the tasks myself. At work, I use AI to compile, classify and tag reports then ask it to list them in terms of high, medium or low impact allowing me to know which reports are urgent and need more prompt action than others. All these is in the field of Maintenance, where I use a Computerized Maintenance Management System (CMMS). AI has also increased my knowledge broadly for work and my life.",Neutral,Automation of routine/repetitive tasks,Faster task completion and time savings,Improved productivity and efficiency at work,Research acceleration and information synthesis,,,,,,
7ae84df8-9f83-48be-a0dc-fbcf9edcbbba,"AI has made me much more productive I now use AI to draft emails, summarize long articles and automate routine tasks which saves me time every day.",Positive,Automation of routine/repetitive tasks,Faster task completion and time savings,Improved productivity and efficiency at work,"Writing help: emails, documents, summaries",,,,,,
6622af7c-d61d-406c-8113-222713f2910c,"AI has made my daily life much easier, especially when I have a question or need help with a task, I ask AI for help.",Positive,Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,,
6ebf822a-0be3-4cb2-aeb1-59e0428d50d0,AI has made my life a little bit easier. It has also given me advise on various topics and whenever i have a problem i ask for its assistance and it always give me remedies to my problems. Despite that positive side of AI sometimes i am worried that sensitive data can be accessed by unauthorized personnel but i use it regardless,Positive,Faster task completion and time savings,Personal decision-making and recommendations,Privacy and security concerns,,,,,,,
55d63c0a-11c3-48d3-a612-d9e0e84e680f,"AI has made my life easier by helping me find information and write faster.


",Positive,Faster task completion and time savings,Research acceleration and information synthesis,"Writing help: emails, documents, summaries",,,,,,,
807eaae7-408c-488a-b991-83e18d3bebcf,AI has made my life easy when it comes to daily tasks such as creating documents and making prompts that are needed at work. This saves me time and labor.,Positive,Faster task completion and time savings,Improved productivity and efficiency at work,"Writing help: emails, documents, summaries",,,,,,,
7d14a8f5-041d-4918-8952-9eb5f3e86559,AI has make my life easy in comparison past year because I have to do less effort to complete a task.,Positive,Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,,
53bb4164-e986-46d7-88ef-87f68b1d4689,"AI has really helped me in making alot of decisions concerning many things like finances, health, and work. I am able to complete alot of things at the comfort of my home due to AI.",Positive,Faster task completion and time savings,Health and medical advice (non-urgent),Personal decision-making and recommendations,,,,,,,
f778ae3a-d107-4e36-ba33-5ba33c4f775d,"AI has really helped me in my work immensely. In my personal life too, AI has mentioned very well.",Positive,Improved productivity and efficiency at work,,,,,,,,,
d7c030ba-e24c-488d-afc9-972d4ccb93e4,"AI has saved me quite a bit of time, especially when it comes to writing documents and checking spelling.",Positive,Faster task completion and time savings,"Writing help: emails, documents, summaries",,,,,,,,
22b48993-5eac-40db-9e8a-c9d2ffbf0cc0,AI has significantly improved my productivity since I consult it when I get stuck. Problems that would typically take me hours now can take a few minutes to resolve. ,Neutral,Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,,
af907363-affa-4950-be87-87c503a0a57a,AI has significantly reduced the time I need to preform tedious day-to-day tasks such as Automated tasks or workflows.  ,Positive,Automation of routine/repetitive tasks,Faster task completion and time savings,,,,,,,,
a69f3178-d0d5-43cf-b4ee-95082d525e94,AI has taught me how to code. I've actually learned coding much quicker thanks to AI,Positive,Coding assistance and debugging,"Learning aid: studying, tutoring, explanations",,,,,,,,
de780478-c00e-42b5-b815-e2af252f1195,AI have helped me in completing my tasks quickly and efficiently. It saves me a lot of time.,Positive,Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,,
6ea83003-4ffb-4969-b293-51265b4a914d,AI helped in setting a daily schedule from workouts to my diet. These personalised plans helped me to fix my daily routine and food habits. I could rely on AI for a direct answer to my questions without the need to read an entire bunch of articles to come to a conclusion. It did bring a positive change in me. ,Positive,Personal decision-making and recommendations,"Scheduling, organization, and reminders",Using AI instead of traditional web search,,,,,,,
8bf76243-6c07-46f2-8e07-eec91eccd9b7,AI helped me to quickly gather data for my research as a molecular biologist. It gathers scientific papers and i check their integrity and if they relate to the subject. ,Neutral,Research acceleration and information synthesis,,,,,,,,,
e5718949-de29-41d9-8329-1dd0f375c526,"AI helps me translate and read documents, write formal emails, find the right expressions in a foreign language, write code, and answer questions when I have questions (much more convenient than search engines).",Positive,Coding assistance and debugging,Research acceleration and information synthesis,Translation and language support,Using AI instead of traditional web search,"Writing help: emails, documents, summaries",,,,,
51015230-12f9-4a42-8657-438f67143520,"AI helps with some work tasks that are not difficult in themselves, but take a lot of time and effort. For example, finding the font that is used. Also, sometimes it helps find an answer to a question that is not covered by a regular Internet search.",Neutral,Automation of routine/repetitive tasks,Faster task completion and time savings,Research acceleration and information synthesis,,,,,,,
1645893c-05f5-4136-8384-a5bd69efe223,AI is a central part of smart home ecosystems,Neutral,Smart home and everyday tool integration,,,,,,,,,
ed3d2e30-a3db-430d-983a-6b1d242f4d9f,AI is becoming essential to my workflow for drafting and automating tasks and research which has increased my productivity ,Positive,Automation of routine/repetitive tasks,Improved productivity and efficiency at work,Research acceleration and information synthesis,,,,,,,
787f571b-59e9-44ba-82a9-187c2d79cba8,AI is integrated in every field,Neutral,Other,,,,,,,,,
6302cb62-c232-4035-8dab-64f4e568ac1a,AI is like a study buddy for me..when i get a doubt in my mind wether its related to work or my personal life... immediately ask AI and try to find an answer... ,Neutral,"Learning aid: studying, tutoring, explanations",Personal decision-making and recommendations,,,,,,,,
ec018a9b-8621-4b24-a5d2-8e171138b871,"AI is making it easier to find the answers I'm looking for without having to search intensively.  It is clearing up the some of the confusion between facts and fiction as well, such as in politics, and other matters.",Neutral,Greater distrust of online media/deepfakes,"Learning aid: studying, tutoring, explanations",Research acceleration and information synthesis,Using AI instead of traditional web search,,,,,,
a931f2c0-7f20-44bb-983f-7e5079aef3e5,"AI is more helpful for me into platforms like Microsoft Office, Google Workspace, and healthcare systems, changing how professionals manage tasks.",Positive,Improved productivity and efficiency at work,Smart home and everyday tool integration,,,,,,,,
a0a0f847-8168-402b-a91d-64f6ca6dac32,"AI is particularly good at writing, so it helps me a lot in polishing my language.",Positive,Quality improvement in communication style,"Writing help: emails, documents, summaries",,,,,,,,
1f6a5690-ed90-4dea-93df-51a3bded0570,AI is replacing people's jobs because it can carry out most of the roles that are required by most organizations,Neutral,Job displacement and reduced opportunities,,,,,,,,,
324acf58-23ab-4e36-9108-7d780ef37382,AI is taking over social media drastically ,Neutral,Increased exposure to AI-generated content,,,,,,,,,
26bb7d53-3961-4e15-a553-4cc789593754,AI isz making my life easier,Positive,Other,,,,,,,,,
6ae291bb-89ac-4de6-92bc-fa9a888a652d,AI made my life easy to investigate an unknown issue. Because AI mostly provides accurate answers. ,Positive,Personal decision-making and recommendations,Research acceleration and information synthesis,,,,,,,,
4b080520-9dfd-4b1d-97ef-4aaf2e2d86aa,AI made my school so much easier. Read my paper for me and summarise notes for me. Saved me so much time to read 100 pages paper but still get the knowledge ,Positive,Faster task completion and time savings,"Learning aid: studying, tutoring, explanations","Writing help: emails, documents, summaries",,,,,,,
b207576c-492d-4874-8208-29cb8a49ff1a,AI made my work easier.,Positive,Improved productivity and efficiency at work,,,,,,,,,
918b1523-2064-43f8-b169-9ff5ce5b756e,AI made writing in english faster,Positive,Quality improvement in communication style,Translation and language support,"Writing help: emails, documents, summaries",,,,,,,
29e4603f-3721-4a45-887f-aa4f55ef9f5e,AI makes it easier for me to find answers to various topics or is faster at getting help I needed at that moment. It didn't change my life but made some things easier and/ or faster.,Positive,Faster task completion and time savings,Not much/no noticeable change for some,Research acceleration and information synthesis,,,,,,,
141f5dec-bb75-40ac-aa5d-ffd94fce7346,"AI makes me happy sometimes because the content creation i can do effectively. Before it was taken one-hour job, it decreased to 10 10-minute job.",Neutral,"Content creation: images, music, videos",Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,
032583d5-bf73-4fdc-b29d-4cef1df6c2a0,AI makes my work easier,Positive,Improved productivity and efficiency at work,,,,,,,,,
5d17d7ae-2b5f-4e59-b59b-b1ff54d26ff6,"AI makes my work easier. Having a second pair of eyes to analyze the work I need to do helps greatly with confidence. When I need additional screening such as writing an email, I use AI. I also use AI to help with services like translating and preparing for trips. ",Neutral,E-commerce/travel planning and comparisons,Improved productivity and efficiency at work,Translation and language support,"Writing help: emails, documents, summaries",,,,,,
553f184d-8cb4-4c25-b362-6f3d8a471ad5,AI makes things flow easily. it removes the stress of worrying too much about what to plan next.,Positive,Emotional support and companionship,Other,Personal decision-making and recommendations,,,,,,,
224615af-18b4-4638-afb4-0ced2a72186c,AI mostly replaced human workers in my company.,Neutral,Job displacement and reduced opportunities,,,,,,,,,
ccb1a850-5151-4f08-b050-3ed7cedfeae6,"AI saved my time so much , it done my work in a easy way. It helps me to solve the most difficult task very easily ",Positive,Automation of routine/repetitive tasks,Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,
96694d0c-4289-4136-b97f-51b1f58f178e,AI significantly saves time.,Positive,Faster task completion and time savings,,,,,,,,,
62050d0e-93d4-49a7-8d76-fb9adbd1a0fb,AI use has saved me time in my daily life,Positive,Faster task completion and time savings,,,,,,,,,
e39c3d2d-ad68-490f-a703-4df62f0e4501,AI-generated content and the overuse of AI in many products' marketing,Neutral,Increased exposure to AI-generated content,,,,,,,,,
c2663500-d03c-48b6-8d22-fbae816033dd,"AI’s been clutch lately, helps me write faster, organize stuff, even shop smarter. But I still keep an eye on the bias. It’s useful, but not flawless.",Neutral,Faster task completion and time savings,Improved productivity and efficiency at work,Personal decision-making and recommendations,"Writing help: emails, documents, summaries",,,,,,
c6399fcf-779e-4ff0-bcfb-b94256ee269f,"Able to get guidance on building the website, for general related queries also and fact checking (sometimes)",Positive,"Learning aid: studying, tutoring, explanations",Research acceleration and information synthesis,,,,,,,,
aa2b6f38-3c5f-44ef-ac61-d187356fb180,About asking the AI to anything and get the answer easily ,Neutral,Using AI instead of traditional web search,,,,,,,,,
2247a244-1ae4-4d3b-ad05-d93f8f93fdf4,Accelerates code work and simplifies fact-checking,Neutral,Coding assistance and debugging,Research acceleration and information synthesis,,,,,,,,
a5ae8114-7f3b-46d8-9cce-d6ba37e01102,Access information more quickly.,Positive,Faster task completion and time savings,Research acceleration and information synthesis,,,,,,,,
80d9214a-2ef1-46d3-b817-233426638439,"Access to information, even if not always 100%accurate,  has proved to be far quicker and easier with ai, especially if my question is detailed and very long, i dont have to read theough an entire article to get it, I do end up doing just that though if the ai fails me, but its much more easier.",Positive,Faster task completion and time savings,Research acceleration and information synthesis,,,,,,,,
72eb8bd9-bf73-499e-936f-ce4cbc4b2c7c,Accessibility to it.,Neutral,Improved accessibility for disabilities/ESL,,,,,,,,,
03dbe3bc-972d-4f0b-8a08-608135d66beb,"Accessing information with each search feels more like teamwork, more real. It's even more motivating to search for information.",Positive,Research acceleration and information synthesis,,,,,,,,,
b5ad9cd5-51a7-4d9b-8b31-f07e00f15d00,After the introduction of AI many things are being used with AI technology . Many things are now working with Ai as it makes work easy . In past year there has many changes in usage of AI and it helps a lot .,Neutral,Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,,
93dc30fd-b13f-4b16-a924-1f343ecb6343,"Ai has been everywhere in my life.example in the study sector,work field,advertisement industry everywhere it has been in our life completely",Positive,Other,,,,,,,,,
bdffd8cc-199b-4cac-b86d-cdd59a4ee2aa,"Ai has impacted a lot in my study. Before, when I couldn't solve math or find answers, i had to surf many websites and it was time consuming. Sometimes, even after this, I couldn't find the answer. But, after AI, it became very easy. I just need to ask the question or send photos of the problem to AI.",Neutral,"Learning aid: studying, tutoring, explanations",,,,,,,,,
68ce8e36-d82e-49ea-8ee1-35d71a1d6e3e,Ai improved my creativity ,Positive,Brainstorming and creativity support,,,,,,,,,
b76f83b4-7c4f-4b93-b7a7-47d93fb2b58e,Ai is like a study buddy to me and I felt it's a good as on into my life ,Positive,"Learning aid: studying, tutoring, explanations",,,,,,,,,
3258691f-7759-4534-8493-919c0323e2fc,Ai just collaborated better and is fast to give information but it can't have a human tone. ,Neutral,Quality improvement in communication style,,,,,,,,,
6e74e5be-6768-405f-a398-0cbeb128488e,"Ai made online task more easy and it is possible to make and run a site, otherwise it was not possible. Making pictures etc",Neutral,Automation of routine/repetitive tasks,"Content creation: images, music, videos",,,,,,,,
d6c24100-782c-467c-8788-006dc1fb8f00,Ai makes everything easier and I’m excited to use it ,Positive,Improved productivity and efficiency at work,,,,,,,,,
93ca820c-cfb3-417e-aa29-e1719da6dfc5,Ai makes thing advance and more reliable,Positive,Other,,,,,,,,,
f51ad598-02b1-49cf-9211-2914894287f5,"All of my work has become much faster and more accurate, and several activities are now organized in more detail with minimal human error.",Positive,Faster task completion and time savings,Improved productivity and efficiency at work,Quality improvement in communication style,,,,,,,
cc6d2254-0c03-4c86-9d5e-6a61e0839649,Almost every hour I will ask AI a question nowadays ,Neutral,"Learning aid: studying, tutoring, explanations",Research acceleration and information synthesis,,,,,,,,
9b6d5323-f665-42ea-97b8-1f4016c43c1b,Answered all the questions I had during my doctoral studies,Positive,"Learning aid: studying, tutoring, explanations",,,,,,,,,
e90a9f1a-56f5-49f8-b1d8-251e026c2863,Any doubt I run to Ai,Neutral,Using AI instead of traditional web search,,,,,,,,,
bcb22047-63ee-4fb7-a4be-2054ca53b39b,Application while working,Neutral,Improved productivity and efficiency at work,Other,,,,,,,,
e2d19886-2a98-4d1a-b30e-bc742f36aad0,Artificial intelligence can facilitate my learning and provide me with new ideas for my creation.,Positive,Brainstorming and creativity support,"Learning aid: studying, tutoring, explanations",,,,,,,,
c0d88889-a8ec-4d37-b531-51d381773acd,"Artificial intelligence has helped me save a lot of time in daily activities (especially paperwork-related ones), but it has also gradually made me feel that I am becoming more and more lazy in thinking.",Positive,Faster task completion and time savings,Reduced independent thinking/overreliance,,,,,,,,
a90b95f2-6227-43e1-9295-9a46b8467ead,"Artificial intelligence has significantly improved my work efficiency. I use it to help me write emails, analyze experimental results and summarize literature. Although I still have to verify the results and accuracy myself, it saves me a lot of time.",Positive,Faster task completion and time savings,Improved productivity and efficiency at work,Research acceleration and information synthesis,"Writing help: emails, documents, summaries",,,,,,
cdb02a2f-fb03-40c7-9ad2-a661c03269a7,"Artificial intelligence has significantly reduced the time it takes me to search for online information. I no longer have to spend countless hours browsing the web, sifting through useful information, and summarizing it to get the answers I need. AI can provide me with satisfactory answers in a fraction of the time.",Neutral,Faster task completion and time savings,Research acceleration and information synthesis,Using AI instead of traditional web search,,,,,,,
116c4bda-17b3-4c6d-953e-7da1ed55fbc0,Artificial intelligence has solved many of my daily problems and provided me with answers and suggestions that were previously difficult to obtain.,Positive,Personal decision-making and recommendations,Research acceleration and information synthesis,,,,,,,,
77c32b54-f798-450b-966c-f740baa5f019,"Artificial intelligence helps me a lot in my life, and I use it almost every day. For example, if I lose my phone, it can tell me what to do with it or how to contact the bank. I can discuss reading or watching movies with it. If I encounter interpersonal communication problems, I can describe the situation to it and ask it to analyze it for me. In short, I feel like it is a trustworthy friend.",Positive,Emotional support and companionship,Personal decision-making and recommendations,,,,,,,,
e12bc881-b2a0-4da3-bb46-11ebcfd9b7f2,Artificial intelligence helps me greatly improve my work efficiency.,Positive,Improved productivity and efficiency at work,,,,,,,,,
3dae3ae2-86d1-4ce2-85c6-3dba862667bf,"Artificial intelligence improves my search efficiency, helps me speed up my work, and gives me a lot of emotional suggestions.",Positive,Emotional support and companionship,Faster task completion and time savings,Improved productivity and efficiency at work,Research acceleration and information synthesis,,,,,,
2396adf8-a460-4476-8ae4-7f944d81f0a1,Artificial intelligence is more aware of knowledge in areas I don't know or am not familiar with. I can consult artificial intelligence first to get more reliable advice in a shorter time.,Neutral,Personal decision-making and recommendations,Research acceleration and information synthesis,,,,,,,,
8a463d17-0d97-4689-b67b-293a927bf5a6,"Artificial intelligence may help make life easier for people, but I believe that with further development, it will lead to major problems, especially for future generations.",Neutral,Job displacement and reduced opportunities,Reduced independent thinking/overreliance,,,,,,,,
929c27fa-1183-4d68-9d17-3454571e76a8,"As a college student, AI has helped me immensely in my studies, as if it were my mentor. I don't see the need for people to be scared by new technology; we can use it intelligently. Of course, many college students use it in academic work, which I don't think is appropriate, especially for final projects. However, for studying, schedules, spreadsheets, questions, tests, summaries, and mind maps are incredibly helpful; I've noticed that it's improved since last year.",Neutral,Faster task completion and time savings,"Learning aid: studying, tutoring, explanations","Scheduling, organization, and reminders","Writing help: emails, documents, summaries",,,,,,
90f911df-2957-41c1-87ae-2afe8f4f23d6,"As a computer science student, the most significant change that happened because of AI was in my studies. Assignments that would previously take me days to complete, and had me struggling with, have become a matter of a few promps and copy paste. Which of course made me learn less effectively.",Neutral,Coding assistance and debugging,"Learning aid: studying, tutoring, explanations",Reduced independent thinking/overreliance,,,,,,,
9ca4e3dd-2be3-4224-8136-34215c8cbac7,"As a result of AI, I have been able to get more creative ideas and new ways of looking at and attacking solutions.",Positive,Brainstorming and creativity support,,,,,,,,,
f7c578c4-d2ed-4144-a93c-e72fdd2e17fd,"As of recent I've started to use AI to code simple programs/bots for personal use and to do quick research on topics I'm interested in. It has honestly made making those said simple programs/bots more accessible, and looking for a more succinct explanations pretty easy as it summarizes things well.",Neutral,Coding assistance and debugging,Research acceleration and information synthesis,,,,,,,,
fba188d1-ba75-4a2f-a06a-fa9649f4c99c,As we can access the direct answers on any topic from the AI while in past we have to search it to google and do a lot of work to find the solution/answer but now simply give it to AI it process the problem and provide the relevant solution which is very very useful for me now a days.,Neutral,Research acceleration and information synthesis,Using AI instead of traditional web search,,,,,,,,
e0c1b7b9-0380-4996-96c6-44de72bca5ca,Ask AI to quickly analyze a given set of data,Neutral,Research acceleration and information synthesis,,,,,,,,,
466e2f93-2731-46ec-b7b5-dc086deb9f88,Ask him all your questions instead of using search engines,Neutral,Using AI instead of traditional web search,,,,,,,,,
d92af115-c418-4bc9-a187-1f896a03db8e,Ask mostly everything from AI regarding my work life,Neutral,Improved productivity and efficiency at work,Research acceleration and information synthesis,,,,,,,,
9fa3a313-c04c-4519-b3de-ba6ef1e1ed53,"At work I'm outsourcing the creation of code snippets to AI, instead of thinking about it for longer, I just AI generate what I need.",Neutral,Coding assistance and debugging,Faster task completion and time savings,Improved productivity and efficiency at work,,,,,,,
6bbe8f46-78f1-4634-a054-a0c113e75daa,"At work, AI is like my personal assistant - ti can help me find resources, proof read my content and in general support me in ways that werent possible before.",Positive,Improved productivity and efficiency at work,Quality improvement in communication style,Research acceleration and information synthesis,"Writing help: emails, documents, summaries",,,,,,
6ae8392e-21ab-4c5d-8225-a2ac7241767e,Automated processes,Neutral,Automation of routine/repetitive tasks,,,,,,,,,
752eff62-a33f-49dd-8e12-b854c4f5de79,"Because I live in a different country than where I was born, I mainly use AI for translation, which makes communication with people easier.",Positive,Improved accessibility for disabilities/ESL,Translation and language support,,,,,,,,
f882f429-2346-4820-bf6a-7e4afdfb67c0,Becoming someone to talk to,Neutral,Emotional support and companionship,,,,,,,,,
bbc85020-ccf8-4b3c-8fb7-17750f9bb6dd,"Before the advent of AI, any kind of new information that needed to be collected, analysed and understood, were to be sourced from multiple websites lying in a fragmented fashion. Sometimes, there were altogether different aspects that were published on all of the searched websites regarding the same subject or topic. And after collecting all those scattered pieces of information, we had to find the common links to get coherence. It was a huge task sometimes. AI changed it all.It does everything",Neutral,Research acceleration and information synthesis,,,,,,,,,
a7343293-5e88-4c46-9e2d-cc96614a6838,"Being able to have a ""tutor"" at hand to teach me the topics I don't understand when I study for my university degree.",Neutral,"Learning aid: studying, tutoring, explanations",,,,,,,,,
aac7c89e-3fb7-4e86-9d51-08823e9bdb0f,Being able to write texts and resolve questions quickly and efficiently. It's like having all the knowledge of the internet at your fingertips.,Positive,Faster task completion and time savings,Research acceleration and information synthesis,"Writing help: emails, documents, summaries",,,,,,,
7231a3a5-20f2-4602-bc0b-1a52160d0269,Better improvement of my job tasks,Neutral,Improved productivity and efficiency at work,,,,,,,,,
356d2dd8-8de1-44ab-92d4-98bd0321abbb,Better searching results,Positive,Using AI instead of traditional web search,,,,,,,,,
fe89d7c2-bc76-4047-8518-dae6dd509b6b,"By asking artificial intelligence, I can quickly master the knowledge in a field. With the help of artificial intelligence, the programs I write can run more efficiently, quickly and without defects.",Positive,Coding assistance and debugging,Faster task completion and time savings,Improved productivity and efficiency at work,"Learning aid: studying, tutoring, explanations",,,,,,
ee5d9985-49ef-4189-8259-2a59a1c80287,"By the use of AI, I can gain a lot of time and reduce my effort to do things.",Positive,Faster task completion and time savings,,,,,,,,,
